MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-41.54642857142858,-14.539999999999994,-49.1,-3.3000000000000003,7.467857142857142
2,-39.64642857142856,-7.117857142857142,-49.6,5.9,10.087500000000002
3,-32.91607142857143,2.5589285714285723,-43.2,16.0,39.30357142857144
4,-15.919642857142856,13.710909090909093,-30.3,27.5,31.564285714285727
5,-7.132142857142858,23.874545454545448,-16.1,34.1,32.40535714285714
6,-0.060714285714285755,27.703636363636363,-7.1000000000000005,37.9,80.45357142857142
7,5.291071428571429,28.28035714285715,-2.6,35.9,128.6107142857143
8,2.014285714285715,26.12452830188679,-7.300000000000001,33.9,102.34642857142858
9,-6.556363636363636,21.91509433962264,-14.200000000000001,32.0,51.90545454545454
10,-17.58727272727273,13.057407407407403,-30.200000000000003,25.200000000000003,39.343636363636364
11,-31.76909090909091,-0.5472727272727272,-42.7,12.3,40.965454545454556
12,-39.45636363636364,-12.026415094339622,-47.5,-2.5,25.698181818181823
