DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-19.03,-9.54,-30.30,3.50,29.83,1,1
2,-19.18,-9.19,-31.40,3.20,28.30,1,2
3,-19.42,-9.82,-33.70,2.70,12.19,1,3
4,-19.92,-10.51,-36.50,0.30,27.43,1,4
5,-19.50,-9.22,-30.20,1.60,10.23,1,5
6,-18.43,-7.75,-27.40,2.80,24.85,1,6
7,-18.11,-8.38,-27.60,2.50,9.53,1,7
8,-18.02,-8.42,-27.50,3.40,22.53,1,8
9,-19.65,-9.89,-32.20,0.80,9.02,1,9
10,-20.33,-10.29,-30.20,3.70,8.35,1,10
11,-20.07,-9.78,-33.70,3.00,22.79,1,11
12,-19.83,-10.15,-31.10,4.70,12.28,1,12
13,-20.92,-10.37,-33.00,4.70,11.08,1,13
14,-20.42,-10.46,-31.70,3.30,8.94,1,14
15,-19.99,-9.76,-32.20,-0.50,21.02,1,15
16,-19.82,-10.27,-31.10,-0.60,8.13,1,16
17,-19.59,-9.52,-29.50,3.50,21.55,1,17
18,-19.46,-9.22,-26.10,2.80,9.24,1,18
19,-19.21,-8.86,-28.50,3.90,31.48,1,19
20,-19.09,-9.39,-29.50,3.40,16.23,1,20
21,-20.27,-9.75,-28.90,0.70,15.94,1,21
22,-19.61,-8.89,-28.40,0.00,9.24,1,22
23,-19.97,-9.20,-28.20,3.30,1.20,1,23
24,-19.86,-9.30,-30.20,4.20,9.04,1,24
25,-19.64,-9.11,-31.30,4.40,8.10,1,25
26,-19.76,-8.74,-30.30,0.00,9.49,1,26
27,-19.55,-8.91,-28.30,3.20,18.25,1,27
28,-19.42,-9.10,-29.50,4.60,8.88,1,28
29,-19.46,-9.66,-28.60,0.20,15.92,1,29
30,-20.67,-9.40,-28.00,-0.60,14.79,1,30
31,-19.05,-8.17,-29.40,4.30,17.12,1,31
32,-19.42,-8.73,-27.60,3.20,14.54,2,1
33,-19.73,-9.09,-28.10,0.10,6.98,2,2
34,-19.32,-8.55,-31.50,5.90,7.92,2,3
35,-17.96,-7.40,-28.60,6.80,14.25,2,4
36,-17.07,-6.98,-25.80,4.10,14.19,2,5
37,-17.79,-6.80,-28.30,2.70,27.69,2,6
38,-17.35,-6.72,-26.90,4.40,12.02,2,7
39,-17.55,-6.13,-26.40,6.30,11.87,2,8
40,-17.03,-6.43,-27.00,5.30,10.09,2,9
41,-16.38,-5.70,-24.40,5.20,8.19,2,10
42,-16.94,-4.97,-26.50,8.80,6.86,2,11
43,-15.59,-4.56,-25.60,8.80,0.56,2,12
44,-14.79,-4.24,-26.20,7.50,6.98,2,13
45,-15.57,-4.00,-26.10,4.60,11.90,2,14
46,-15.41,-5.39,-25.90,5.70,20.22,2,15
47,-15.41,-4.86,-24.80,7.80,12.37,2,16
48,-14.97,-4.00,-25.50,5.00,11.06,2,17
49,-14.29,-3.03,-22.40,9.60,19.05,2,18
50,-13.49,-3.21,-23.10,9.70,6.18,2,19
51,-13.46,-2.64,-23.50,8.50,4.04,2,20
52,-13.85,-2.67,-25.40,6.00,4.08,2,21
53,-13.47,-3.39,-25.20,6.50,5.21,2,22
