MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,3.6892857142857145,13.61923076923077,-0.9,18.8,21.24821428571429
2,5.508928571428572,17.203703703703706,-0.1,27.6,20.596428571428568
3,8.34642857142857,23.58333333333334,1.2000000000000002,34.300000000000004,49.189285714285724
4,12.446428571428571,29.407547169811323,4.5,36.4,105.73571428571428
5,16.344642857142865,31.992156862745095,10.8,38.900000000000006,148.93750000000003
6,19.97142857142857,34.44038461538462,15.5,39.7,186.65
7,22.675000000000004,37.152830188679246,19.200000000000003,41.300000000000004,176.4357142857143
8,22.62857142857143,37.70943396226414,18.5,43.7,125.83392857142857
9,18.652727272727276,34.013461538461534,14.3,42.0,135.50181818181818
10,13.983636363636363,26.582692307692298,6.9,37.4,93.01818181818183
11,9.424528301886793,21.17254901960784,3.3000000000000003,29.200000000000003,47.98867924528302
12,5.011764705882354,14.577551020408169,-1.7000000000000002,19.400000000000002,24.852941176470587
