DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-24.10370370370371,-13.170370370370371,0.02,1,1
2,-23.57037037037037,-13.079629629629633,0.08979591836734693,1,2
3,-24.135185185185183,-12.900000000000002,0.016,1,3
4,-24.277358490566034,-12.969811320754717,0.027083333333333334,1,4
5,-24.322641509433954,-12.420754716981133,0.03125,1,5
6,-22.858490566037737,-11.247169811320756,0.20000000000000004,1,6
7,-23.04615384615385,-11.215384615384615,0.09375,1,7
8,-23.084905660377363,-11.746153846153847,0.0693877551020408,1,8
9,-24.26153846153846,-13.190384615384612,0.04489795918367347,1,9
10,-24.8537037037037,-13.055555555555554,0.006382978723404256,1,10
11,-24.688888888888883,-12.903703703703703,0.016666666666666666,1,11
12,-24.422641509433966,-13.139622641509435,0.041176470588235294,1,12
13,-25.475,-13.409803921568622,0.1,1,13
14,-25.037735849056595,-12.866037735849057,0.02040816326530612,1,14
15,-24.50384615384615,-13.157692307692308,0.036734693877551024,1,15
16,-25.001960784313727,-13.041176470588239,0.02,1,16
17,-24.405555555555562,-12.290740740740741,0.03958333333333334,1,17
18,-24.347272727272742,-12.074545454545458,0.08163265306122451,1,18
19,-24.28823529411765,-11.917647058823531,0.07872340425531915,1,19
20,-24.769230769230766,-13.144230769230774,1.8448979591836736,1,20
21,-24.74444444444444,-12.814814814814815,0.08,1,21
22,-24.30754716981133,-12.458490566037739,0.06,1,22
23,-24.509615384615383,-12.236538461538458,0.06326530612244897,1,23
24,-23.973584905660374,-12.033962264150949,1.814,1,24
25,-24.669811320754707,-12.011764705882351,0.060416666666666674,1,25
26,-23.91698113207546,-11.521153846153847,1.798,1,26
27,-24.182692307692307,-11.81153846153846,0.006122448979591837,1,27
28,-24.683636363636364,-12.00925925925926,1.828,1,28
29,-23.57962962962963,-11.766037735849054,0.10204081632653061,1,29
30,-24.9,-11.61730769230769,0.018000000000000002,1,30
31,-23.84727272727273,-11.472727272727276,1.9816326530612247,1,31
32,-23.614545454545453,-10.792727272727271,0.05800000000000001,2,1
33,-23.615094339622644,-10.979245283018875,0.030000000000000006,2,2
34,-23.43333333333333,-10.227450980392154,0.018750000000000003,2,3
35,-22.901886792452824,-9.688679245283017,0.02448979591836735,2,4
36,-22.533333333333335,-9.27222222222222,0.035416666666666666,2,5
37,-22.592452830188673,-9.062264150943397,0.02653061224489796,2,6
38,-22.27307692307692,-8.888461538461538,0.01875,2,7
39,-22.340740740740745,-8.746296296296297,0.03333333333333333,2,8
40,-21.74814814814815,-8.175925925925927,0.04583333333333334,2,9
41,-21.111111111111118,-8.048148148148147,0.11428571428571428,2,10
42,-21.443396226415103,-7.945283018867925,0.07551020408163266,2,11
43,-20.800000000000004,-7.473076923076923,0.035416666666666666,2,12
44,-19.909259259259258,-6.735185185185187,0.07083333333333335,2,13
45,-20.45925925925926,-6.762962962962962,0.09591836734693877,2,14
46,-20.174074074074067,-7.292592592592593,0.08958333333333335,2,15
47,-19.966666666666672,-6.894444444444445,0.044000000000000004,2,16
48,-19.92692307692308,-6.267307692307693,0.03541666666666667,2,17
49,-18.82407407407408,-5.85925925925926,0.08367346938775509,2,18
50,-18.442592592592593,-5.757407407407409,0.09583333333333334,2,19
51,-18.379245283018864,-5.564150943396224,1.9,2,20
52,-18.348148148148155,-5.396296296296297,0.10400000000000001,2,21
53,-17.684615384615384,-5.498076923076922,2.0380000000000003,2,22
54,-18.228301886792455,-5.090566037735847,0.06938775510204083,2,23
55,-17.777358490566037,-4.237735849056604,0.052000000000000005,2,24
56,-17.923214285714284,-3.767857142857142,1.8530612244897962,2,25
57,-16.17777777777777,-3.212962962962964,1.2816326530612245,2,26
58,-16.132075471698116,-2.709433962264152,1.1510204081632653,2,27
59,-15.346296296296295,-2.5351851851851857,0.44423076923076926,2,28
60,-16.325490196078427,-2.7392156862745107,0.10408163265306122,3,1
61,-15.85925925925926,-2.4000000000000004,1.6816326530612247,3,2
62,-15.196153846153852,-1.9692307692307693,0.004081632653061225,3,3
63,-14.843636363636364,-1.2611111111111113,0.28600000000000003,3,4
64,-14.39433962264151,-0.9788461538461541,0.1980392156862745,3,5
65,-13.947272727272727,-1.3436363636363635,0.026000000000000002,3,6
