DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,2.1589285714285724,7.994642857142856,2.848214285714286,1,1
2,3.210714285714286,8.251785714285713,1.9375000000000004,1,2
3,2.3839285714285707,8.078571428571431,2.4500000000000006,1,3
4,2.5357142857142856,8.010714285714286,2.3267857142857147,1,4
5,2.719642857142859,8.016071428571431,2.3071428571428574,1,5
6,2.475,8.017857142857144,1.6517857142857142,1,6
7,2.5,7.578571428571427,1.767857142857143,1,7
8,2.6732142857142853,8.092857142857143,2.316071428571429,1,8
9,3.125,8.258928571428575,2.3857142857142857,1,9
10,2.962499999999999,8.317857142857145,2.8375,1,10
11,2.694642857142857,8.0375,2.1000000000000005,1,11
12,2.242857142857143,7.8982142857142845,1.6428571428571437,1,12
13,2.6214285714285723,8.15892857142857,1.5071428571428576,1,13
14,1.9892857142857143,7.994642857142858,1.9017857142857142,1,14
15,2.4053571428571425,8.005357142857143,2.058928571428572,1,15
16,2.1196428571428574,8.080357142857144,1.5446428571428572,1,16
17,2.2017857142857142,7.614285714285714,1.8357142857142859,1,17
18,1.9232142857142855,7.344642857142858,1.4910714285714286,1,18
19,2.900000000000001,8.04107142857143,2.041071428571429,1,19
20,2.667857142857143,7.896428571428572,1.6892857142857147,1,20
21,2.3964285714285722,8.105357142857143,2.403571428571429,1,21
22,3.0589285714285714,8.507142857142858,2.8321428571428577,1,22
23,3.1553571428571425,8.467857142857145,2.639285714285715,1,23
24,2.9499999999999993,8.180357142857144,2.5749999999999997,1,24
25,2.3803571428571426,7.976785714285713,2.2285714285714286,1,25
26,2.471428571428572,8.092857142857145,2.4267857142857143,1,26
27,2.360714285714285,8.296428571428574,2.551785714285714,1,27
28,2.7214285714285715,8.117857142857144,1.8410714285714287,1,28
29,2.983928571428571,7.862500000000002,2.185714285714286,1,29
30,2.5678571428571426,7.796428571428573,2.0017857142857145,1,30
31,1.7803571428571427,7.751785714285714,1.7892857142857146,1,31
32,2.405357142857143,8.416071428571426,1.6285714285714292,2,1
33,2.791071428571428,8.198214285714286,1.142857142857143,2,2
34,2.692857142857144,8.767857142857142,1.948214285714286,2,3
35,3.1125000000000003,8.85,2.180357142857143,2,4
36,3.405357142857143,9.123214285714287,1.8785714285714294,2,5
37,3.651785714285713,9.210714285714289,1.960714285714286,2,6
38,3.069642857142859,8.939285714285715,1.966071428571429,2,7
39,3.1428571428571423,9.08392857142857,2.473214285714286,2,8
40,2.657142857142857,8.825,2.7321428571428568,2,9
41,1.8428571428571434,8.167857142857143,2.8035714285714297,2,10
42,2.2464285714285723,8.432142857142859,2.855357142857143,2,11
43,1.8517857142857146,8.707142857142859,2.210714285714286,2,12
44,1.7678571428571435,7.9696428571428575,2.985714285714286,2,13
45,1.5214285714285718,8.496428571428572,1.921428571428572,2,14
46,1.6196428571428574,8.832142857142857,1.6946428571428576,2,15
47,1.9946428571428572,8.189285714285717,1.0250000000000001,2,16
48,1.8714285714285719,8.719642857142858,1.1553571428571432,2,17
49,2.3946428571428577,8.816071428571428,2.2196428571428575,2,18
50,2.0803571428571432,8.814285714285715,1.4732142857142863,2,19
51,3.1321428571428576,9.566071428571428,1.5250000000000001,2,20
52,2.7267857142857146,8.910714285714288,0.9857142857142858,2,21
53,2.823214285714286,9.451785714285714,1.3696428571428572,2,22
54,3.198214285714286,9.785714285714288,2.216071428571429,2,23
55,3.3196428571428576,9.948214285714284,1.785714285714286,2,24
56,2.9446428571428576,9.175,2.523214285714286,2,25
57,2.6857142857142846,9.180357142857146,1.5089285714285714,2,26
58,2.6178571428571433,9.064285714285715,1.5196428571428575,2,27
59,2.5732142857142866,9.128571428571428,2.208928571428572,2,28
60,2.907142857142858,9.605357142857143,2.7017857142857147,3,1
61,2.948214285714286,9.658928571428573,1.3285714285714287,3,2
62,3.0982142857142856,9.726785714285715,1.2803571428571432,3,3
63,2.317857142857142,9.742857142857146,1.95,3,4
64,2.2482142857142855,9.628571428571428,1.7142857142857146,3,5
65,2.5160714285714287,10.208928571428569,1.8625,3,6
66,3.0392857142857133,10.758928571428571,2.0946428571428575,3,7
67,2.973214285714286,11.262500000000001,1.5857142857142859,3,8
68,4.005357142857143,11.112500000000006,1.2964285714285713,3,9
69,4.017857142857143,11.405357142857142,1.0625000000000002,3,10
70,3.851785714285714,11.567857142857145,1.2821428571428573,3,11
71,4.1571428571428575,10.95892857142857,1.4928571428571427,3,12
72,3.8553571428571423,10.814285714285713,1.4124999999999999,3,13
73,3.65357142857143,10.810714285714287,1.5357142857142863,3,14
74,4.192857142857142,11.674999999999999,1.5428571428571434,3,15
75,4.451785714285714,12.410714285714288,1.1357142857142857,3,16
76,4.562499999999999,11.58571428571429,1.453571428571429,3,17
77,4.4714285714285715,11.710714285714287,2.251785714285715,3,18
78,4.548214285714286,11.305357142857142,1.6910714285714286,3,19
79,4.217857142857143,11.930357142857144,1.5374999999999999,3,20
80,4.226785714285715,11.707142857142859,1.5964285714285713,3,21
81,4.251785714285715,11.821428571428571,1.667857142857143,3,22
82,4.132142857142857,12.685714285714287,1.6946428571428576,3,23
83,4.501785714285715,12.301785714285716,1.933928571428572,3,24
84,4.751785714285712,12.435714285714282,1.4017857142857146,3,25
85,4.310714285714286,12.382142857142856,1.5607142857142855,3,26
86,4.426785714285713,12.424999999999995,2.905357142857142,3,27
87,4.051785714285713,12.38571428571429,1.605357142857143,3,28
88,4.767857142857143,12.650000000000002,2.1839285714285723,3,29
89,4.617857142857142,12.649999999999997,2.5464285714285717,3,30
90,4.758928571428571,12.657142857142857,1.7285714285714289,3,31
91,5.025454545454545,13.094545454545457,1.7327272727272731,4,1
92,4.823636363636365,13.069090909090908,1.9945454545454546,4,2
93,4.847272727272728,11.838181818181818,1.2854545454545454,4,3
94,4.267272727272727,11.774545454545454,1.4145454545454548,4,4
95,4.147272727272727,11.840000000000002,1.6545454545454548,4,5
96,4.2236363636363645,12.712727272727276,1.2254545454545458,4,6
97,4.705454545454547,12.376363636363637,1.4963636363636361,4,7
98,4.374545454545453,12.42,1.4509090909090911,4,8
99,4.112727272727273,13.070909090909089,1.085454545454546,4,9
100,4.407272727272726,12.930909090909093,1.3963636363636363,4,10
101,4.434545454545455,12.652727272727278,1.874545454545455,4,11
102,4.354545454545455,13.354545454545457,1.2236363636363639,4,12
103,4.8509090909090915,13.298181818181822,1.150909090909091,4,13
104,4.914545454545454,13.650909090909092,1.4963636363636366,4,14
105,5.025454545454546,13.869090909090906,2.072727272727273,4,15
106,5.098181818181818,13.718181818181817,0.8636363636363635,4,16
107,5.06909090909091,14.138181818181817,1.3836363636363638,4,17
108,5.378181818181816,13.398181818181815,1.2890909090909093,4,18
109,4.81090909090909,14.025454545454545,1.2236363636363639,4,19
110,4.943636363636363,13.819999999999997,1.0618181818181818,4,20
111,4.967272727272728,15.081818181818182,1.4800000000000004,4,21
112,6.281818181818182,15.896363636363633,0.9490909090909095,4,22
113,6.272727272727272,15.398181818181815,2.4072727272727277,4,23
114,6.114545454545456,15.07818181818182,2.4254545454545458,4,24
115,6.334545454545455,14.409090909090908,2.3018181818181827,4,25
116,6.2600000000000025,14.236363636363635,2.0181818181818185,4,26
117,6.016363636363638,13.980000000000002,1.2745454545454546,4,27
118,6.125454545454544,14.739999999999997,1.6400000000000001,4,28
119,6.252727272727271,14.503636363636362,2.9145454545454554,4,29
120,6.534545454545453,14.647272727272728,2.6509090909090904,4,30
121,6.65818181818182,14.98,2.2309090909090905,5,1
122,6.567272727272729,15.038181818181823,2.0836363636363635,5,2
123,6.665454545454548,15.298181818181815,1.423636363636364,5,3
124,7.025454545454546,15.409090909090908,1.383636363636364,5,4
125,6.925454545454546,15.556363636363635,1.6636363636363638,5,5
126,7.423636363636364,15.365454545454543,2.121818181818182,5,6
127,7.360000000000001,15.970909090909094,1.8545454545454552,5,7
128,7.725454545454543,16.690909090909088,1.3563636363636364,5,8
129,8.094545454545454,16.61454545454545,1.4854545454545458,5,9
130,8.445454545454547,16.82909090909091,2.1381818181818186,5,10
131,8.550909090909087,16.80727272727273,2.190909090909092,5,11
132,8.094545454545454,16.539999999999992,2.3654545454545453,5,12
133,8.221818181818179,16.498181818181816,1.621818181818182,5,13
134,7.476363636363635,16.619999999999997,1.4418181818181817,5,14
135,7.469090909090907,17.38181818181818,2.1327272727272732,5,15
136,8.185454545454544,17.290909090909086,1.4890909090909095,5,16
137,8.494545454545454,17.076363636363638,1.956363636363637,5,17
138,7.909090909090911,16.97272727272727,1.8072727272727276,5,18
139,8.498181818181818,17.039999999999992,2.0072727272727278,5,19
140,8.305454545454547,17.22363636363636,3.1527272727272724,5,20
141,8.70363636363636,17.267272727272722,2.041818181818183,5,21
142,8.859999999999998,17.74363636363636,1.8254545454545459,5,22
143,8.872727272727271,17.66909090909091,1.7254545454545456,5,23
144,8.961818181818181,17.98181818181818,1.7036363636363643,5,24
145,8.807272727272725,18.836363636363636,2.4254545454545458,5,25
146,9.521818181818183,18.412727272727274,1.4963636363636368,5,26
147,9.707272727272727,18.661818181818187,1.901818181818182,5,27
148,9.219999999999999,17.992727272727272,2.340000000000001,5,28
149,9.07818181818182,18.141818181818184,1.34,5,29
150,9.814545454545454,18.645454545454545,2.5436363636363644,5,30
151,9.656363636363636,18.73636363636363,1.8490909090909093,5,31
152,9.167272727272728,19.36545454545454,3.010909090909091,6,1
153,10.492727272727269,19.089090909090906,1.6709090909090911,6,2
154,10.319999999999999,18.89090909090909,1.5272727272727276,6,3
155,9.923636363636362,18.76,1.6872727272727273,6,4
156,10.003636363636364,18.54181818181818,2.2418181818181826,6,5
157,10.45090909090909,19.065454545454546,1.583636363636364,6,6
158,10.269090909090908,19.02181818181818,1.6254545454545457,6,7
159,10.327272727272728,19.440000000000005,1.5654545454545459,6,8
160,10.256363636363634,19.772727272727273,1.78,6,9
161,10.79636363636364,19.26181818181818,3.6618181818181808,6,10
162,10.701818181818183,19.325454545454548,2.518181818181818,6,11
163,10.654545454545454,19.258181818181818,1.8072727272727274,6,12
164,10.354545454545452,19.38545454545455,1.301818181818182,6,13
165,10.345454545454544,20.01818181818182,1.372727272727273,6,14
166,10.93454545454545,19.63090909090909,1.5400000000000003,6,15
167,10.658181818181816,20.10181818181818,1.5545454545454551,6,16
168,10.841818181818184,20.345454545454544,1.7036363636363643,6,17
169,11.5,20.40181818181819,2.0272727272727273,6,18
170,11.27818181818182,20.572727272727278,1.767272727272727,6,19
171,11.700000000000005,20.92,1.3309090909090913,6,20
172,11.489090909090908,20.560000000000002,2.110909090909091,6,21
173,11.496363636363638,20.325454545454544,1.2672727272727276,6,22
174,10.952727272727275,20.441818181818185,1.6181818181818186,6,23
175,11.272727272727273,21.01636363636364,1.8090909090909095,6,24
176,11.718181818181813,20.747272727272733,3.4272727272727264,6,25
177,11.843636363636366,21.71636363636364,2.581818181818182,6,26
178,12.414545454545454,21.147272727272735,2.3072727272727276,6,27
179,12.167272727272726,21.552727272727275,1.0145454545454549,6,28
180,12.56727272727273,21.77090909090909,0.9909090909090911,6,29
181,12.149090909090908,21.589090909090906,1.0890909090909093,6,30
182,12.38545454545455,21.685454545454544,1.3963636363636365,7,1
183,11.99454545454545,21.81090909090909,2.1690909090909094,7,2
184,12.056363636363635,21.229090909090907,1.272727272727273,7,3
185,12.01090909090909,21.758181818181818,2.563636363636364,7,4
186,12.819999999999999,21.698181818181833,3.774545454545454,7,5
187,12.71818181818182,21.970909090909092,0.8981818181818186,7,6
188,12.154545454545453,22.361818181818176,1.434545454545455,7,7
189,12.381818181818184,22.083636363636362,2.1890909090909094,7,8
190,12.689090909090904,21.658181818181824,1.1800000000000002,7,9
191,12.394545454545453,22.323636363636364,1.1181818181818184,7,10
192,13.165454545454548,22.356363636363643,0.9654545454545459,7,11
193,12.83090909090909,21.965454545454545,2.772727272727272,7,12
194,12.887272727272729,22.21272727272727,1.3345454545454547,7,13
195,13.187272727272726,22.13636363636364,1.8854545454545457,7,14
196,12.854545454545459,22.598181818181825,1.4218181818181823,7,15
197,12.72181818181818,22.31090909090909,1.7909090909090917,7,16
198,12.63090909090909,22.338181818181823,1.3218181818181822,7,17
199,12.64181818181818,22.663636363636368,1.6272727272727279,7,18
200,13.176363636363632,23.16363636363636,1.312727272727273,7,19
201,13.61090909090909,23.440000000000005,0.88,7,20
202,13.461818181818181,22.834545454545456,1.8672727272727276,7,21
203,12.798181818181817,22.907272727272726,1.2672727272727273,7,22
204,13.092727272727272,23.296363636363637,1.770909090909091,7,23
205,13.056363636363637,23.605454545454542,1.5981818181818186,7,24
206,13.183636363636365,23.13454545454545,0.9690909090909093,7,25
207,13.46181818181818,23.11454545454546,1.6290909090909091,7,26
208,13.992727272727265,22.687272727272727,2.012727272727273,7,27
209,13.676363636363636,22.99090909090909,0.1690909090909091,7,28
210,13.098181818181818,23.709090909090904,2.7836363636363637,7,29
211,13.503636363636364,23.427272727272726,1.010909090909091,7,30
212,13.114545454545455,23.33636363636364,0.9654545454545458,7,31
