DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,2.426785714285714,10.110714285714286,2.992857142857143,1,1
2,2.339285714285714,10.082142857142857,1.8785714285714283,1,2
3,1.3392857142857142,10.319642857142858,2.485714285714286,1,3
4,1.157142857142857,10.780357142857143,1.9250000000000003,1,4
5,1.3660714285714288,10.441071428571432,3.110714285714286,1,5
6,1.641071428571429,10.280357142857143,2.2821428571428575,1,6
7,1.507142857142857,10.066071428571428,2.107142857142857,1,7
8,1.3071428571428574,10.532142857142857,1.6178571428571424,1,8
9,2.5732142857142857,10.72142857142857,3.0214285714285722,1,9
10,2.462499999999999,10.692857142857147,2.7285714285714278,1,10
11,1.842857142857143,10.7125,2.4857142857142853,1,11
12,0.8,10.028571428571428,2.332142857142857,1,12
13,1.4571428571428577,10.705357142857148,1.6892857142857147,1,13
14,1.7892857142857144,10.38392857142857,2.351785714285714,1,14
15,1.4535714285714287,11.239285714285716,3.217857142857142,1,15
16,1.4339285714285717,10.867857142857146,2.8035714285714284,1,16
17,1.0446428571428572,10.769642857142859,3.757142857142857,1,17
18,1.5250000000000004,9.826785714285714,3.6160714285714275,1,18
19,2.0464285714285717,10.907142857142858,3.3267857142857147,1,19
20,1.7410714285714293,10.66607142857143,2.878571428571429,1,20
21,1.426785714285714,11.108928571428573,2.6857142857142855,1,21
22,2.455357142857143,11.060714285714285,4.6000000000000005,1,22
23,2.607142857142857,11.646428571428572,3.3982142857142863,1,23
24,1.8267857142857136,11.319642857142856,3.4321428571428565,1,24
25,1.839285714285714,11.205357142857139,2.8374999999999995,1,25
26,2.0446428571428568,11.175000000000002,2.7535714285714272,1,26
27,2.0571428571428574,10.857142857142858,3.503571428571429,1,27
28,2.2767857142857144,10.923214285714282,3.5053571428571435,1,28
29,2.5535714285714293,11.019642857142856,3.875,1,29
30,1.9,10.817857142857145,3.0499999999999994,1,30
31,2.648214285714286,11.426785714285714,3.508928571428572,1,31
32,2.3053571428571433,11.901785714285717,2.789285714285715,2,1
33,2.1875,11.430357142857144,2.028571428571429,2,2
34,1.767857142857142,11.610714285714286,2.9303571428571424,2,3
35,1.8642857142857145,12.167857142857141,2.960714285714286,2,4
36,2.8267857142857147,12.773214285714287,2.6232142857142855,2,5
37,2.1375000000000006,12.758928571428571,2.730357142857143,2,6
38,2.507142857142857,12.267857142857144,2.519642857142857,2,7
39,1.932142857142858,12.083928571428572,2.253571428571429,2,8
40,2.1767857142857143,12.944642857142862,2.919642857142857,2,9
41,1.9446428571428573,12.394642857142856,3.173214285714286,2,10
42,1.719642857142857,11.69642857142857,4.033928571428571,2,11
43,1.6964285714285718,12.541071428571428,4.041071428571429,2,12
44,1.6660714285714289,12.419642857142858,3.221428571428572,2,13
