DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,4.939285714285715,9.533928571428572,-5.6000000000000005,15.600000000000001,37.92857142857143,1,1
2,5.664285714285714,9.14107142857143,-5.800000000000001,15.100000000000001,15.660714285714286,1,2
3,5.42142857142857,9.128571428571428,-3.7,14.600000000000001,34.75,1,3
4,5.067857142857144,9.549999999999999,-3.8000000000000003,14.9,19.410714285714285,1,4
5,5.616071428571429,9.2375,-4.800000000000001,15.3,24.053571428571427,1,5
6,5.346428571428573,9.50892857142857,-5.800000000000001,14.3,29.714285714285715,1,6
7,5.205357142857143,9.048214285714286,-4.0,15.8,22.392857142857142,1,7
8,5.242857142857143,9.362499999999999,-7.800000000000001,14.600000000000001,24.410714285714285,1,8
9,5.828571428571427,9.707142857142857,-5.0,14.600000000000001,20.017857142857142,1,9
10,5.749999999999999,9.45178571428571,-3.0,15.100000000000001,17.875,1,10
11,5.685714285714284,9.328571428571431,-3.6,14.8,15.517857142857142,1,11
12,4.939285714285716,9.001785714285715,-9.4,15.9,15.125,1,12
13,5.282142857142858,9.173214285714282,-9.600000000000001,14.5,25.482142857142858,1,13
14,5.239285714285716,9.294642857142858,-8.200000000000001,15.0,15.0,1,14
15,5.183928571428571,9.371428571428568,-10.0,15.8,31.607142857142858,1,15
16,4.892857142857143,9.151785714285714,-10.0,15.100000000000001,26.125,1,16
17,5.021428571428573,9.167857142857143,-7.800000000000001,14.700000000000001,21.267857142857142,1,17
18,4.714285714285714,9.248214285714285,-6.4,14.600000000000001,28.375,1,18
19,5.55,9.494642857142859,-5.800000000000001,14.8,24.392857142857142,1,19
20,5.603571428571429,9.485714285714286,-4.6000000000000005,13.700000000000001,19.785714285714285,1,20
21,5.574999999999998,9.712500000000002,-2.2,13.8,26.535714285714285,1,21
22,6.0946428571428575,9.667857142857143,-3.2,14.100000000000001,26.553571428571427,1,22
23,6.049999999999999,9.75535714285714,-3.2,13.4,36.42857142857143,1,23
24,5.898214285714286,9.621428571428575,-2.6,14.100000000000001,22.053571428571427,1,24
25,5.755357142857144,9.398214285714285,-1.4000000000000001,15.9,23.482142857142858,1,25
26,5.51607142857143,9.546428571428573,-1.6,14.200000000000001,29.321428571428573,1,26
27,5.146428571428572,9.237499999999999,-2.0,14.0,20.642857142857142,1,27
28,5.321428571428569,9.56785714285714,-2.0,16.8,26.535714285714285,1,28
29,5.7178571428571425,9.362499999999999,-2.0,15.100000000000001,25.625,1,29
30,5.253571428571428,9.35714285714286,-2.6,13.600000000000001,29.482142857142858,1,30
31,5.055357142857141,9.24107142857143,-3.0,15.100000000000001,15.160714285714286,1,31
32,5.348214285714285,9.642857142857144,-2.1,14.5,22.25,2,1
33,5.651785714285716,9.34464285714286,-3.8000000000000003,14.8,14.732142857142858,2,2
34,5.475,9.51428571428571,-4.5,14.5,18.892857142857142,2,3
35,5.505357142857143,9.910714285714283,-2.0,17.400000000000002,17.678571428571427,2,4
36,6.316071428571429,10.373214285714287,-2.5,16.0,18.589285714285715,2,5
37,5.8482142857142865,9.962499999999997,-2.6,15.200000000000001,21.946428571428573,2,6
38,5.782142857142857,9.598214285714286,-6.6000000000000005,15.8,16.303571428571427,2,7
39,5.783928571428571,9.882142857142856,-5.800000000000001,14.4,21.142857142857142,2,8
40,5.3553571428571445,10.148214285714287,-4.3,15.8,27.982142857142858,2,9
41,5.417857142857143,9.787499999999998,-6.4,13.200000000000001,27.160714285714285,2,10
42,5.430357142857143,9.673214285714286,-4.3,15.9,33.214285714285715,2,11
43,5.285714285714287,9.941071428571432,-3.8000000000000003,14.600000000000001,28.196428571428573,2,12
44,5.2124999999999995,9.883928571428571,-1.6,16.5,28.375,2,13
45,5.294642857142855,9.942857142857145,-2.4000000000000004,18.3,22.732142857142858,2,14
46,5.067857142857143,9.996428571428572,-3.4000000000000004,18.3,19.25,2,15
