MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-5.0600000000000005,8.16,-19.3,12.700000000000001,56.580000000000005
2,-7.01,8.760000000000002,-17.6,15.3,65.17999999999999
3,-4.4363636363636365,11.618181818181819,-12.100000000000001,18.400000000000002,55.21818181818182
4,-1.4000000000000001,18.763636363636365,-9.5,28.1,41.472727272727276
5,3.436363636363637,22.000000000000004,-1.2000000000000002,29.0,42.03636363636363
6,6.5181818181818185,24.418181818181825,2.1,33.800000000000004,58.68181818181817
7,8.427272727272728,26.23,4.7,35.1,98.08000000000003
8,8.366666666666667,26.833333333333332,4.2,34.1,72.9111111111111
9,6.18888888888889,20.744444444444447,1.0,28.6,84.82222222222224
10,0.65,15.920000000000002,-6.2,22.400000000000002,82.19
11,-3.95,10.64,-10.200000000000001,16.1,49.78999999999999
12,-7.609999999999999,7.8,-18.2,13.3,75.38
