DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,1.8299999999999996,3.5181818181818185,-3.3000000000000003,8.0,29.583333333333332,1,1
2,-0.4166666666666667,2.6555555555555554,-16.0,10.0,21.25,1,2
3,-2.4000000000000004,4.4,-14.0,11.4,82.15384615384616,1,3
4,-3.7600000000000002,2.821428571428572,-17.0,10.4,35.57142857142857,1,4
5,-0.8714285714285716,2.8600000000000003,-10.600000000000001,9.0,30.5625,1,5
6,-2.7,3.1812500000000004,-18.0,12.4,27.25,1,6
7,-2.5,1.9266666666666665,-14.0,9.200000000000001,33.333333333333336,1,7
8,-2.8166666666666664,2.05,-16.2,6.1000000000000005,24.4,1,8
9,-0.10769230769230773,3.530769230769231,-13.4,9.8,22.307692307692307,1,9
10,-3.2214285714285715,0.6583333333333332,-18.5,12.700000000000001,32.9,1,10
11,-0.5333333333333333,3.033333333333333,-17.0,9.0,23.916666666666668,1,11
12,-2.607692307692308,3.1846153846153844,-12.9,10.0,14.333333333333334,1,12
13,-2.742857142857143,1.9769230769230772,-12.0,11.0,11.923076923076923,1,13
14,-3.573333333333333,2.9599999999999995,-20.700000000000003,11.0,37.93333333333333,1,14
15,-2.12,3.3999999999999995,-16.0,12.0,42.76923076923077,1,15
16,-0.15,1.8125,-11.5,12.0,11.2,1,16
17,-2.5625,2.81,-15.0,7.300000000000001,35.15384615384615,1,17
18,-3.25,2.3384615384615386,-16.1,9.0,31.285714285714285,1,18
19,-4.472727272727273,0.7461538461538461,-15.200000000000001,6.4,18.75,1,19
20,-3.5,2.7916666666666665,-9.4,9.0,37.0,1,20
21,-1.966666666666667,3.042857142857143,-9.600000000000001,7.800000000000001,17.09090909090909,1,21
22,-2.358333333333334,2.333333333333334,-10.0,7.0,19.933333333333334,1,22
23,-0.9454545454545453,3.3285714285714287,-10.0,7.0,40.666666666666664,1,23
24,-1.2769230769230768,3.1928571428571426,-7.5,7.0,37.42857142857143,1,24
25,-0.15,2.816666666666667,-7.5,7.0,32.0,1,25
26,-1.33,3.5461538461538464,-7.0,11.0,33.333333333333336,1,26
27,-1.4,4.315384615384615,-9.0,12.5,31.714285714285715,1,27
28,-3.0470588235294116,2.5928571428571425,-16.0,8.3,15.333333333333334,1,28
