MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-4.0,10.275,-10.9,14.0,20.225
2,-5.425000000000001,10.15,-15.0,17.1,21.675000000000004
3,-4.425000000000001,14.3,-11.200000000000001,20.0,48.55
4,-2.425,16.55,-8.200000000000001,23.0,33.925
5,0.74,23.18,-5.4,28.1,41.86
6,5.18,25.660000000000004,-0.5,30.400000000000002,54.44000000000001
7,6.333333333333333,25.933333333333334,0.0,33.1,44.23333333333333
8,6.975,31.175000000000004,0.0,37.7,28.575000000000003
9,3.0,24.8,-2.7,31.0,16.233333333333334
10,-2.8000000000000003,14.133333333333333,-10.200000000000001,20.0,70.93333333333332
11,-1.8250000000000002,12.025,-9.0,16.0,36.825
12,-5.025,10.425,-14.0,13.0,65.94999999999999
