DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-12.600000000000001,-3.4000000000000004,0.0,1,1
2,-11.600000000000001,2.9000000000000004,0.0,1,2
3,1.3,7.5,10.9,1,3
4,-7.2,5.75,0.5,1,4
5,0.0,,21.1,1,5
6,-3.0,4.2,2.0,1,6
7,-1.8,,0.5,1,7
8,-5.0,3.0,0.0,1,8
9,-3.8000000000000003,3.4000000000000004,0.0,1,9
10,-0.8,9.5,1.8,1,10
11,3.8000000000000003,8.1,0.0,1,11
12,-0.9,0.9,0.0,1,12
14,-3.5,,0.0,1,14
15,-1.8,1.3,0.5,1,15
16,-3.5,3.5,0.0,1,16
18,-7.15,3.9000000000000004,0.25,1,18
19,-6.1,2.7500000000000004,0.5,1,19
20,-12.5,2.2,0.0,1,20
21,-8.450000000000001,-0.6000000000000001,0.0,1,21
22,-7.050000000000001,2.5500000000000003,0.75,1,22
23,-10.3,2.5000000000000004,0.0,1,23
24,-10.5,4.9,0.0,1,24
25,-9.0,-1.4000000000000001,0.0,1,25
26,-8.4,-1.2,0.0,1,26
27,-10.100000000000001,-2.7,0.0,1,27
28,-12.100000000000001,-1.0,0.0,1,28
29,-10.3,,0.0,1,29
32,-14.9,2.2,0.0,2,1
33,-18.0,-0.9,0.0,2,2
34,-17.400000000000002,0.0,0.0,2,3
35,-16.6,0.4,0.0,2,4
37,-17.2,,0.0,2,6
38,-6.0,-0.20000000000000018,0.0,2,7
39,-10.600000000000001,2.2,0.0,2,8
40,-8.7,5.300000000000001,0.0,2,9
41,-5.6000000000000005,3.2,0.0,2,10
42,-1.8,4.5,1.5,2,11
43,-6.2,1.0500000000000003,1.0,2,12
44,-6.1000000000000005,10.100000000000001,1.1500000000000001,2,13
46,-6.700000000000001,-2.8000000000000003,0.4,2,15
47,-6.5,-0.2,4.800000000000001,2,16
49,-12.55,0.6500000000000001,1.0,2,18
50,-11.15,-0.10000000000000009,0.0,2,19
51,-6.300000000000001,-1.2000000000000002,0.0,2,20
52,-6.550000000000001,3.5,0.5,2,21
53,-5.800000000000001,2.1,1.6500000000000001,2,22
54,-5.1,3.3,0.0,2,23
55,-4.1000000000000005,7.6000000000000005,3.3000000000000003,2,24
56,-6.0,11.950000000000001,0.0,2,25
57,-3.45,8.9,0.0,2,26
58,-5.6000000000000005,11.5,0.0,2,27
59,-5.300000000000001,9.25,0.0,2,28
60,-5.9,9.850000000000001,0.0,3,1
61,-4.950000000000001,13.0,0.0,3,2
62,-5.5,9.9,0.0,3,2
63,-0.8,5.9,3.6,3,3
64,-3.0,8.5,0.0,3,5
65,-4.0,15.8,0.0,3,5
66,-2.5500000000000003,13.3,0.0,3,7
67,-0.35,12.7,0.65,3,8
68,0.3500000000000001,13.600000000000001,0.0,3,9
69,-4.7,12.200000000000001,0.0,3,9
70,-4.6000000000000005,12.5,0.0,3,10
71,-1.9,9.8,0.0,3,12
72,-2.6,10.6,0.25,3,13
73,-0.19999999999999996,10.25,0.0,3,14
75,-1.0,16.0,0.0,3,16
76,-3.1500000000000004,9.35,0.5,3,17
77,-3.4000000000000004,10.350000000000001,0.0,3,18
79,-4.5,11.200000000000001,0.0,3,19
80,1.5,6.1000000000000005,0.0,3,20
81,1.5,16.2,0.0,3,22
82,0.7,8.75,4.300000000000001,3,23
83,2.2500000000000004,11.000000000000002,5.7,3,24
84,0.8,3.4000000000000004,0.8,3,24
86,-1.0,4.3,0.0,3,26
87,-3.5,3.8000000000000003,0.4,3,28
88,-3.2,1.4000000000000001,0.9,3,29
90,-6.300000000000001,9.200000000000001,0.0,3,30
91,-3.9000000000000004,12.600000000000001,0.0,4,1
92,2.2,14.0,0.0,4,2
93,-0.8,14.500000000000002,0.15000000000000002,4,3
94,-1.25,12.3,0.0,4,4
95,2.3000000000000003,9.4,2.6500000000000004,4,5
97,5.0,12.0,0.0,4,7
98,-4.2,9.600000000000001,0.0,4,7
99,-3.7,7.300000000000001,0.0,4,8
100,-3.1,14.200000000000001,0.0,4,10
101,-2.5500000000000003,13.25,0.0,4,11
102,-2.4000000000000004,14.450000000000001,0.0,4,12
103,-1.2000000000000002,16.1,0.0,4,13
104,0.1,16.7,0.0,4,14
105,0.4,16.5,0.0,4,15
106,-2.6,13.950000000000001,0.0,4,16
107,-3.0,4.800000000000001,0.0,4,17
108,-2.8500000000000005,4.05,0.0,4,18
109,-3.1,4.4,0.0,4,18
110,-4.5,4.2,0.0,4,20
111,-4.6,6.9,1.0,4,21
112,-6.9,10.25,0.0,4,22
113,-4.0,15.700000000000001,0.0,4,23
114,-1.7,10.5,0.0,4,23
115,-3.3000000000000003,10.4,0.0,4,25
116,-1.25,18.200000000000003,0.0,4,26
117,1.5499999999999998,18.5,0.0,4,27
118,1.5999999999999999,16.65,0.0,4,28
119,1.0,20.1,13.200000000000001,4,28
120,1.0,8.6,1.0,4,30
121,4.8500000000000005,12.65,1.15,5,1
123,4.7,19.900000000000002,0.0,5,2
124,0.5,6.800000000000001,1.3,5,4
126,-1.35,15.5,0.0,5,6
127,4.0,17.900000000000002,0.0,5,6
128,-1.8,13.200000000000001,0.0,5,8
129,6.9,17.400000000000002,0.0,5,8
131,8.1,11.600000000000001,0.8,5,11
132,4.1000000000000005,12.9,0.8,5,11
133,4.2,14.700000000000001,14.5,5,12
134,1.8,,0.0,5,13
135,5.300000000000001,25.5,0.0,5,14
136,3.55,17.150000000000002,0.0,5,16
137,6.2,24.1,0.0,5,16
138,4.1,14.400000000000002,0.30000000000000004,5,18
139,6.533333333333334,19.033333333333335,1.2,5,19
140,2.4333333333333336,17.133333333333336,0.43333333333333335,5,20
141,4.833333333333333,16.700000000000003,1.0,5,21
142,8.3,20.3,,5,22
143,5.45,20.700000000000003,0.30000000000000004,5,23
144,7.066666666666667,23.633333333333336,2.5333333333333337,5,24
145,3.7,15.700000000000001,0.75,5,25
146,6.8999999999999995,20.23333333333333,0.9,5,25
147,4.225,17.775000000000002,0.2,5,27
148,5.575,16.925,0.0,5,28
149,4.3500000000000005,18.325,0.0,5,29
150,3.05,20.724999999999998,0.0,5,30
151,5.050000000000001,22.0,0.0,5,31
152,6.066666666666666,22.633333333333336,5.5,6,1
153,6.466666666666666,21.400000000000002,0.0,6,2
154,5.866666666666667,19.200000000000003,0.6,6,3
155,1.3,12.700000000000001,7.1000000000000005,6,4
156,1.8,15.9,2.15,6,5
157,7.6000000000000005,18.675,1.85,6,6
158,10.05,19.650000000000002,2.2,6,7
159,10.6,21.166666666666668,12.033333333333333,6,8
160,7.300000000000001,17.96666666666667,0.7666666666666666,6,9
161,9.4,23.3,0.5,6,9
162,8.433333333333335,18.96666666666667,6.266666666666667,6,11
163,7.7,23.733333333333334,1.0,6,12
164,11.066666666666668,21.033333333333335,1.4666666666666668,6,13
165,10.700000000000001,20.4,4.075,6,14
166,9.366666666666667,20.033333333333335,0.10000000000000002,6,15
167,8.5,19.0,2.3000000000000003,6,16
168,7.933333333333334,23.400000000000002,1.4333333333333333,6,17
169,8.5,24.3,0.25,6,18
170,7.550000000000001,19.950000000000003,4.075,6,19
171,5.7,23.36666666666667,0.0,6,20
172,8.350000000000001,21.75,3.7,6,20
173,6.6,23.925,0.07500000000000001,6,22
174,9.700000000000001,26.566666666666666,0.3333333333333333,6,23
175,10.266666666666666,20.1,4.3,6,24
176,9.6,21.35,4.066666666666667,6,25
177,10.433333333333335,26.200000000000003,1.1666666666666667,6,26
178,9.866666666666667,24.233333333333334,2.3000000000000003,6,27
179,9.375,19.675,4.0,6,28
180,8.65,24.950000000000003,0.0,6,29
181,7.033333333333334,24.100000000000005,0.0,6,30
182,6.050000000000001,25.650000000000002,0.0,7,1
183,7.033333333333334,22.833333333333332,2.466666666666667,7,2
184,8.0,21.15,0.15000000000000002,7,3
186,8.8,20.8,6.1000000000000005,7,5
187,12.0,17.1,16.3,7,5
188,7.2,,8.9,7,7
189,9.466666666666667,22.55,0.7666666666666666,7,8
191,9.15,26.8,0.15000000000000002,7,10
192,8.700000000000001,23.233333333333334,0.26666666666666666,7,11
193,8.3,27.700000000000003,0.0,7,12
194,8.350000000000001,23.1,1.8,7,13
195,13.5,17.2,0.30000000000000004,7,14
196,6.1,21.1,0.0,7,15
197,6.8500000000000005,23.150000000000002,0.0,7,16
198,8.5,22.900000000000002,0.10000000000000002,7,17
199,8.166666666666666,20.76666666666667,0.16666666666666666,7,18
200,12.8,19.6,3.0,7,19
201,8.15,23.75,2.0500000000000003,7,20
202,7.966666666666668,27.65,0.0,7,21
203,9.75,27.950000000000003,0.0,7,22
204,10.6,25.866666666666664,0.26666666666666666,7,23
205,9.233333333333334,22.3,0.0,7,24
206,4.9,21.900000000000002,0.0,7,25
207,9.9,23.3,0.0,7,25
208,8.65,21.5,1.1500000000000001,7,27
209,7.533333333333334,25.600000000000005,0.0,7,28
210,9.600000000000001,25.933333333333334,0.0,7,29
211,11.733333333333334,26.600000000000005,0.0,7,30
212,12.166666666666666,26.5,0.10000000000000002,7,31
213,11.9,26.900000000000002,0.0,7,31
214,15.0,27.4,28.950000000000003,8,2
215,12.0,27.1,2.8666666666666667,8,3
216,10.8,29.200000000000003,0.0,8,4
217,9.55,26.5,0.25,8,5
218,9.3,26.800000000000004,0.0,8,6
219,9.166666666666666,26.233333333333334,1.366666666666667,8,7
220,11.8,31.200000000000003,0.0,8,8
221,9.100000000000001,27.150000000000002,0.25,8,9
222,9.833333333333334,26.833333333333332,0.0,8,10
223,12.85,27.675000000000004,0.0,8,11
224,9.5,29.8,0.0,8,12
225,11.175,27.150000000000002,0.0,8,13
226,10.3,25.3,0.0,8,14
227,10.100000000000001,19.3,0.0,8,14
228,7.75,24.25,5.925000000000001,8,16
229,6.800000000000001,22.85,0.0,8,17
230,6.1000000000000005,21.65,2.4000000000000004,8,18
231,4.800000000000001,,0.0,8,19
232,7.666666666666667,23.433333333333334,0.16666666666666666,8,20
233,10.5,26.550000000000004,0.0,8,21
234,10.1,21.433333333333334,2.4333333333333336,8,22
235,7.2,20.900000000000002,0.0,8,23
236,9.25,22.55,0.0,8,24
237,9.166666666666666,22.766666666666666,1.7666666666666668,8,25
238,9.95,24.1,0.15000000000000002,8,26
239,11.950000000000001,27.25,0.0,8,27
240,9.766666666666667,23.900000000000002,2.3666666666666667,8,28
241,10.450000000000001,29.15,0.0,8,29
242,8.366666666666667,26.166666666666668,0.0,8,30
243,6.500000000000001,27.400000000000002,0.0,8,31
244,8.200000000000001,22.0,0.0,9,1
245,5.5,24.1,0.0,9,2
246,6.666666666666667,19.166666666666668,1.0333333333333334,9,3
247,8.466666666666667,21.0,0.3666666666666667,9,4
248,6.0,24.5,0.0,9,5
249,4.45,12.3,4.3,9,5
250,1.9000000000000001,11.3,0.30000000000000004,9,7
251,3.2,15.350000000000001,2.8,9,8
252,5.366666666666667,16.000000000000004,0.3333333333333333,9,9
253,3.966666666666667,16.96666666666667,0.10000000000000002,9,10
254,5.733333333333333,18.400000000000002,3.1333333333333333,9,11
255,8.6,22.400000000000002,0.0,9,11
256,5.1000000000000005,18.333333333333336,0.0,9,13
257,5.2,18.666666666666668,0.0,9,14
258,7.750000000000001,17.75,0.0,9,15
259,6.750000000000001,18.15,1.0,9,16
260,1.95,17.900000000000002,0.0,9,17
261,3.5,19.8,0.0,9,17
262,2.9000000000000004,19.2,1.2666666666666668,9,19
263,3.0500000000000003,19.9,0.0,9,20
264,5.050000000000001,20.200000000000003,0.15000000000000002,9,21
265,2.6333333333333333,18.433333333333334,2.6333333333333333,9,22
266,7.450000000000001,20.1,15.25,9,23
267,5.95,19.4,0.25,9,24
268,4.633333333333334,17.166666666666668,5.5,9,25
269,4.1000000000000005,13.5,0.0,9,26
270,4.35,18.2,0.0,9,27
271,3.266666666666667,17.6,0.9333333333333335,9,28
272,2.866666666666667,21.166666666666668,0.0,9,29
273,6.766666666666667,18.066666666666666,0.0,9,30
274,8.100000000000001,14.75,4.8500000000000005,10,1
275,7.55,12.850000000000001,0.25,10,2
276,1.15,17.35,0.65,10,3
277,1.95,19.150000000000002,0.0,10,4
278,5.800000000000001,17.0,0.0,10,5
279,3.6999999999999997,15.850000000000001,0.5,10,6
280,1.9500000000000002,20.35,0.0,10,7
281,5.300000000000001,20.700000000000003,0.0,10,8
282,1.5,14.200000000000001,0.0,10,9
283,-2.8000000000000003,16.0,0.0,10,10
284,-0.19999999999999996,17.200000000000003,0.0,10,11
285,0.8500000000000001,21.150000000000002,0.0,10,12
286,4.6000000000000005,23.6,0.0,10,13
287,5.1000000000000005,20.150000000000002,0.0,10,14
288,3.7,24.1,0.0,10,15
289,2.5500000000000003,23.200000000000003,0.0,10,16
290,4.300000000000001,16.75,0.0,10,17
291,4.6,11.75,1.0,10,18
293,3.4000000000000004,13.0,0.0,10,20
295,-3.5,7.5,0.25,10,22
296,-3.45,2.0,0.25,10,23
297,-4.0,8.200000000000001,0.0,10,24
298,-4.2,14.4,0.0,10,25
299,-4.300000000000001,10.0,0.15000000000000002,10,26
300,-3.5,6.2,0.0,10,27
301,-7.5,9.5,0.0,10,28
302,-2.4000000000000004,8.65,0.25,10,29
303,-7.7,8.9,0.0,10,30
304,-4.3500000000000005,5.5,0.25,10,31
305,-9.9,9.3,0.0,11,1
306,-2.3,8.05,1.0,11,2
308,-0.4,8.200000000000001,0.5,11,4
309,-0.2,5.0,0.8,11,5
311,-2.4000000000000004,2.2,0.0,11,7
312,0.0,4.15,7.25,11,8
315,-3.4000000000000004,3.1,0.5,11,11
316,0.0,4.6000000000000005,0.65,11,12
317,-1.9000000000000001,7.800000000000001,1.3,11,13
318,-0.4000000000000001,4.300000000000001,0.15000000000000002,11,14
320,0.8,5.75,0.9,11,16
321,3.5,10.3,0.0,11,17
323,-0.5,3.9000000000000004,1.0,11,19
324,-0.45,,3.5500000000000003,11,20
325,1.0,,7.1000000000000005,11,21
326,1.4000000000000001,3.6,2.3000000000000003,11,22
328,-5.15,6.65,0.15000000000000002,11,24
329,-4.4,7.300000000000001,0.0,11,25
331,-4.550000000000001,1.9000000000000001,0.15000000000000002,11,27
332,-3.4000000000000004,7.2,0.0,11,28
333,-2.05,5.5,0.0,11,29
336,-8.55,-2.4000000000000004,0.0,12,2
337,-7.0,-1.0,0.0,12,3
338,-3.75,-1.1,0.0,12,4
339,-3.1,0.8,0.0,12,5
341,-11.250000000000002,-2.15,0.25,12,7
342,-10.05,-0.4,0.15000000000000002,12,8
343,-12.5,,0.0,12,9
344,-9.85,3.05,0.0,12,10
346,-11.65,-1.8000000000000003,0.0,12,12
347,-18.8,-3.1,0.0,12,13
348,-11.250000000000002,-1.5,0.0,12,14
349,-2.6500000000000004,-0.5,0.0,12,15
350,-4.2,-1.0,0.0,12,16
351,-8.8,-1.4000000000000001,0.0,12,17
352,-2.1,3.4000000000000004,7.1000000000000005,12,18
353,-5.1000000000000005,-1.35,1.9333333333333336,12,19
354,-8.9,-1.6,0.0,12,20
355,-8.1,0.30000000000000004,0.0,12,20
356,-1.25,3.7,12.700000000000001,12,22
357,0.4,5.050000000000001,11.55,12,23
360,-6.4,,0.25,12,26
361,-6.0,1.8666666666666665,11.1,12,27
362,-14.4,-3.0,0.0,12,27
363,-9.5,-3.1,0.0,12,29
364,-11.25,0.5000000000000001,0.0,12,30
365,-7.550000000000001,1.6500000000000001,1.1500000000000001,12,31
366,-14.600000000000001,-1.3,,12,31
