PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1988-08-01,1988,8,,,,,,,,,,,0.00,41.00,0,61,219,,,24
1988-11-01,1988,11,,,,,,,,,,,0.00,15.00,0,53,121,,,21
1989-05-01,1989,5,,,,,,,,,,,0.00,41.00,0,74,163,,,22
1990-01-01,1990,1,,,,,,,,,,,0.00,18.00,0,48,135,,,26
1990-02-01,1990,2,,,,,,,,,,,0.00,140.00,0,218,742,,,24
1990-05-01,1990,5,,,,,,,,,,,0.00,23.00,0,48,137,,,23
1990-08-01,1990,8,,,,,,,,,,,0.00,13.00,0,38,80,,,23
1990-09-01,1990,9,,,,,,,,,,,0.00,28.00,0,150,394,,,30
1990-10-01,1990,10,,,,,,,,,,,0.00,15.00,0,69,181,,,31
1990-11-01,1990,11,,,,,,,,,,,0.00,36.00,0,48,318,,,29
1990-12-01,1990,12,,,,,,,,,,,0.00,5.00,0,43,92,,,28
1991-01-01,1991,1,,,,,,,,,,,0.00,10.00,0,33,81,,,27
1991-02-01,1991,2,-12.50,-2.10,-15.80,-1.10,-155.00,-3.70,10.20,-7.10,12.70,48.40,0.00,18.00,0,48,123,20,25,25
1991-03-01,1991,3,-3.30,4.50,-4.10,7.30,16.50,5.70,17.50,4.50,18.90,273.10,0.00,36.00,0,114,275,23,25,30
1991-04-01,1991,4,-2.80,4.90,-5.20,5.70,27.30,7.30,17.60,5.40,20.50,361.20,0.00,20.00,0,66,147,23,27,26
1991-05-01,1991,5,0.00,7.00,-1.20,10.20,80.60,9.60,21.10,8.10,24.50,454.80,0.00,48.00,0,302,647,24,31,30
1991-06-01,1991,6,4.20,13.50,2.60,14.70,183.40,16.70,26.30,10.50,29.30,603.40,0.00,66.00,0,465,970,21,29,29
1991-07-01,1991,7,9.60,14.80,7.70,16.20,268.00,22.20,29.50,20.40,31.70,594.20,0.00,142.00,0,165,516,22,23,25
1991-08-01,1991,8,8.20,14.20,5.70,17.70,308.40,21.30,29.00,19.00,32.40,683.50,0.00,20.00,0,137,344,27,27,29
1991-09-01,1991,9,5.10,11.10,4.80,12.70,207.80,15.40,26.00,13.10,27.70,632.50,0.00,0.00,0,198,203,24,30,30
1991-10-01,1991,10,,,,,,5.60,17.70,1.00,18.90,311.50,0.00,0.00,0,0,0,,27,30
1991-11-01,1991,11,,,,,,1.20,9.80,0.50,16.70,133.80,0.00,38.00,0,61,280,,25,29
1991-12-01,1991,12,,,,,,,,,,,0.00,36.00,0,43,268,,,30
1992-01-01,1992,1,-10.00,1.60,-12.20,3.40,-89.50,-2.70,6.60,-3.50,9.10,59.70,0.00,8.00,0,71,164,22,28,30
1992-02-01,1992,2,-7.80,0.00,-10.50,2.30,-63.50,-0.80,10.30,-2.50,12.40,137.20,0.00,30.00,0,48,224,21,27,29
1992-03-01,1992,3,-1.70,2.10,-3.10,5.20,3.20,4.50,14.30,3.50,14.90,292.00,0.00,71.00,0,178,736,28,30,30
1992-04-01,1992,4,-1.50,6.10,-2.90,9.80,49.90,7.90,20.80,5.10,27.50,406.00,0.00,38.00,0,117,448,26,29,29
1992-05-01,1992,5,4.30,9.90,1.60,12.30,189.30,17.40,27.10,11.10,28.30,566.50,0.00,5.00,0,56,122,25,26,31
1992-06-01,1992,6,8.80,13.90,6.80,14.30,256.50,19.70,27.90,18.40,30.50,700.20,0.00,76.00,0,206,638,24,30,30
1992-07-01,1992,7,11.00,14.90,8.00,15.80,320.20,20.30,31.10,16.90,34.80,801.00,0.00,56.00,0,305,631,26,31,31
1992-08-01,1992,8,10.30,17.10,8.00,17.50,325.40,23.10,33.80,18.00,36.30,894.10,0.00,46.00,0,64,349,24,31,29
1992-09-01,1992,9,5.90,12.00,1.40,12.10,183.30,15.80,23.00,12.00,24.60,588.00,0.00,30.00,0,183,424,23,30,30
1992-10-01,1992,10,-2.00,9.80,-3.10,10.10,86.20,6.90,17.00,4.10,17.70,293.50,0.00,53.00,0,224,718,23,26,31
1992-11-01,1992,11,-2.00,5.00,-3.50,6.50,34.60,5.10,12.00,2.80,13.30,233.40,0.00,69.00,0,145,736,22,29,30
1992-12-01,1992,12,,,,,,-2.30,8.40,-3.00,11.20,47.60,0.00,53.00,0,114,285,,23,23
2003-06-01,2003,6,12.90,17.30,10.20,18.80,408.30,24.10,30.50,20.40,33.20,757.60,0.00,20.00,0,81,267,27,28,28
