MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-9.880000000000003,5.383333333333334,33.57647058823529
2,-8.41,7.861111111111111,36.027777777777786
3,-3.435000000000001,14.952631578947367,38.05263157894736
4,-1.0399999999999998,17.826315789473682,32.72105263157895
5,3.114285714285714,23.2421052631579,46.105263157894726
6,7.033333333333333,26.99473684210526,73.4
7,9.135,27.81666666666667,53.87777777777778
8,8.685714285714287,27.900000000000002,58.48823529411766
9,5.18,23.58333333333333,45.66470588235295
10,-0.03499999999999999,17.836842105263155,38.655555555555566
11,-4.005,11.175,48.325
12,-7.975,6.94,42.44736842105262
