MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,23.57179487179487,31.61842105263158,19.6,39.6,33.58461538461539
2,23.56666666666667,31.270731707317072,20.200000000000003,35.6,35.495652173913044
3,23.930952380952384,32.023809523809526,21.200000000000003,35.0,15.68421052631579
4,24.05384615384616,33.19189189189189,21.3,38.800000000000004,27.860000000000003
5,23.771794871794878,33.61315789473684,18.900000000000002,35.800000000000004,10.139999999999999
6,22.997499999999995,33.648717948717945,19.0,38.1,10.08
7,22.38,33.473684210526315,14.5,35.5,7.6
8,22.38205128205128,33.97027027027027,20.0,36.0,4.840000000000001
9,23.197560975609754,34.677499999999995,20.0,37.2,10.642105263157896
10,23.846153846153847,35.05263157894737,20.0,37.800000000000004,13.427777777777779
11,23.80256410256411,34.04736842105264,19.0,39.800000000000004,28.135294117647064
12,23.85,32.3078947368421,19.8,36.9,33.42352941176471
