MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,23.108571428571434,32.8,20.755555555555553
2,23.000000000000004,32.82258064516128,31.422222222222224
3,22.785294117647062,32.59696969696971,14.89
4,22.888571428571424,32.996875,17.990909090909096
5,22.605882352941176,32.98709677419355,21.076923076923077
6,21.677142857142854,32.340625,19.950000000000003
7,20.83714285714285,32.29375,21.44
8,20.400000000000002,32.96562499999999,4.3875
9,20.837142857142858,33.99411764705882,2.2181818181818183
10,21.918181818181814,34.5030303030303,12.45
11,22.88571428571429,33.93939393939394,24.115384615384617
12,22.820588235294125,32.91515151515151,29.56923076923077
