DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,23.309090909090912,31.962500000000006,1.0,1,1
2,23.74285714285714,32.57777777777778,0.0,1,2
3,23.473333333333336,31.62500000000001,,1,3
4,22.9,32.331250000000004,,1,4
5,23.487500000000004,31.875000000000004,0.0,1,5
6,23.105,32.28235294117648,0.0,1,6
7,23.327777777777776,32.15384615384615,,1,7
8,23.257894736842104,32.57333333333334,,1,8
9,23.42666666666667,32.26153846153846,,1,9
10,23.21,31.959999999999997,,1,10
11,23.520000000000003,32.23076923076923,,1,11
12,23.18888888888889,32.11875,,1,12
13,23.681250000000002,32.43076923076923,,1,13
14,23.475,32.400000000000006,,1,14
15,23.917647058823533,32.31428571428571,,1,15
16,23.635294117647064,32.02,,1,16
17,23.62307692307692,31.82222222222222,,1,17
18,23.2375,31.664285714285715,,1,18
19,23.45,32.04545454545455,,1,19
20,23.372222222222224,31.575,0.0,1,20
21,23.46315789473684,32.50666666666667,0.0,1,21
22,23.36923076923077,32.30833333333334,,1,22
23,23.600000000000005,32.300000000000004,,1,23
24,23.418750000000003,31.725000000000005,,1,24
25,23.189473684210526,32.03333333333333,0.0,1,25
26,23.33888888888889,32.33529411764705,,1,26
27,23.629411764705885,31.70909090909091,,1,27
28,23.531578947368427,31.97692307692308,,1,28
29,23.470588235294116,31.733333333333334,,1,29
30,23.355555555555554,32.02142857142858,0.0,1,30
31,23.337500000000002,32.18333333333332,0.0,1,31
32,23.00588235294118,31.857142857142854,0.0,2,1
33,23.59375,32.416666666666664,,2,2
34,23.6875,32.16,,2,3
35,23.268421052631577,32.325,,2,4
36,23.78125,31.96153846153846,,2,5
37,23.63333333333334,31.94615384615384,,2,6
38,23.589473684210528,32.26153846153846,0.0,2,7
39,23.28636363636364,32.12,,2,8
40,23.64,31.82222222222222,,2,9
41,23.235294117647054,31.781818181818185,2.0,2,10
42,23.22142857142857,31.85,,2,11
43,23.33529411764706,31.7,,2,12
44,23.32,31.623529411764707,,2,13
45,23.52105263157895,32.60588235294117,,2,14
46,23.64,31.6875,,2,15
47,23.116666666666667,32.28125,,2,16
48,23.436363636363637,31.810526315789474,,2,17
49,23.266666666666666,31.586666666666662,3.0,2,18
50,23.3,31.849999999999998,,2,19
51,23.55333333333333,31.191666666666666,,2,20
52,23.211111111111116,31.686666666666664,,2,21
53,23.089473684210525,32.37333333333333,0.0,2,22
54,23.41111111111111,32.04666666666667,9.9,2,23
55,23.228571428571428,31.560000000000002,0.0,2,24
56,23.294736842105262,31.421428571428574,13.0,2,25
57,23.25,31.63125,36.1,2,26
58,23.173684210526318,31.92142857142857,10.100000000000001,2,27
59,23.488235294117647,32.0,,2,28
60,23.256,31.866666666666667,,3,1
61,23.549999999999997,32.09166666666667,,3,1
62,23.580000000000002,32.26363636363637,,3,3
63,23.641176470588235,32.2,,3,4
64,23.618750000000002,32.093333333333334,,3,4
65,23.568421052631578,32.125,0.0,3,6
66,23.861538461538466,31.70909090909091,,3,7
67,23.558333333333334,31.73,,3,8
68,23.400000000000002,32.06153846153847,,3,9
69,23.440000000000005,31.792307692307695,,3,10
70,23.48235294117647,31.635294117647057,21.1,3,10
71,23.40526315789474,31.815384615384612,36.1,3,11
72,23.555555555555557,31.566666666666666,,3,12
73,23.376190476190477,31.511111111111106,24.900000000000002,3,13
74,23.40555555555556,31.400000000000002,0.0,3,14
75,23.038095238095238,32.04210526315789,7.0,3,15
76,23.46,31.92105263157895,,3,16
77,23.535,31.893750000000004,4.95,3,17
78,23.64545454545454,31.894444444444446,1.0,3,18
79,23.654166666666665,31.726086956521737,32.0,3,19
80,23.63,31.900000000000006,,3,20
81,23.4,32.3375,,3,22
82,23.331578947368428,31.658823529411766,7.1000000000000005,3,22
83,23.435294117647057,32.05714285714286,,3,23
84,23.488235294117644,31.920000000000005,0.0,3,24
85,23.429411764705875,31.814285714285717,50.0,3,25
86,23.40555555555555,32.05714285714286,,3,27
87,23.22608695652174,32.10526315789474,0.0,3,27
88,23.18,31.927777777777774,0.0,3,28
89,23.5,32.12666666666667,,3,30
90,23.96153846153846,32.458333333333336,0.0,3,30
91,23.543750000000003,32.7,,3,31
92,23.527272727272727,31.747058823529414,0.3333333333333333,4,1
93,23.752941176470586,32.15714285714286,3.0,4,3
94,23.405,31.86315789473684,0.0,4,3
95,23.841176470588238,31.9625,0.0,4,5
96,23.88571428571429,32.22105263157894,2.5500000000000003,4,6
97,23.64736842105263,32.37222222222223,,4,6
98,23.98,31.815384615384616,0.0,4,7
99,23.720000000000002,31.706249999999997,4.45,4,8
100,23.847368421052636,32.14705882352941,4.1000000000000005,4,9
101,23.96,32.26666666666667,2.0,4,10
102,23.522727272727273,31.950000000000003,0.0,4,11
103,23.807692307692314,31.541666666666668,,4,12
104,23.929411764705883,31.82,,4,13
105,24.082352941176467,31.900000000000002,,4,15
106,23.54705882352941,32.050000000000004,3.0,4,15
107,23.81764705882353,32.10666666666666,0.0,4,16
108,23.636842105263167,32.10625,,4,18
109,23.755555555555556,31.729411764705887,38.1,4,18
110,23.85,31.329411764705878,0.0,4,20
111,23.842105263157894,31.835294117647063,6.1000000000000005,4,20
112,23.986666666666665,31.958333333333332,,4,22
113,23.946666666666665,32.24166666666667,,4,23
114,23.9047619047619,32.05555555555556,0.0,4,23
115,24.300000000000004,32.27142857142857,,4,24
116,24.01666666666667,31.464285714285715,0.0,4,26
117,23.900000000000002,32.08461538461539,,4,26
118,23.799999999999997,31.76875,1.0,4,28
119,24.074999999999996,31.63157894736842,11.9,4,29
120,23.769565217391307,31.9235294117647,20.950000000000003,4,29
121,24.121052631578948,32.08461538461538,,4,30
122,24.05294117647059,32.06428571428571,0.0,5,2
123,24.185714285714283,32.2,,5,3
124,23.968181818181815,31.314285714285717,7.1000000000000005,5,3
125,24.21764705882353,31.470588235294116,,5,4
126,24.31666666666667,32.0,,5,6
127,23.423529411764704,32.20714285714286,3.0,5,6
128,23.882352941176475,31.907692307692308,0.0,5,8
129,23.827777777777776,31.946153846153848,9.9,5,9
130,23.880000000000003,32.077777777777776,0.0,5,9
131,24.11,32.05714285714286,0.0,5,10
132,24.27777777777778,31.788235294117644,0.0,5,11
133,24.02941176470588,32.00714285714286,0.0,5,13
134,23.817647058823532,31.663636363636364,0.0,5,14
135,23.973333333333336,32.17272727272727,,5,15
136,24.013333333333332,31.70909090909091,0.0,5,15
137,24.226315789473684,31.94285714285714,,5,16
138,24.27647058823529,32.2,,5,18
139,23.75625,31.46363636363636,0.0,5,19
140,23.95714285714286,31.622222222222224,0.0,5,19
141,23.95625,32.457142857142856,0.0,5,21
142,23.816666666666666,32.230769230769226,,5,22
143,23.81578947368421,32.025,0.0,5,23
144,23.94375,31.608333333333334,,5,24
145,24.069565217391304,31.92941176470588,0.5,5,24
146,24.21428571428572,32.3375,,5,26
147,24.029411764705884,32.086666666666666,0.0,5,26
148,24.1875,32.04615384615385,4.1000000000000005,5,27
149,24.135,32.0,48.0,5,28
150,24.216666666666665,31.575,1.0,5,29
151,24.055,31.73333333333333,,5,30
152,23.599999999999998,31.83333333333333,,6,1
153,23.938888888888883,32.02352941176471,7.9,6,2
154,23.558823529411764,31.56153846153846,,6,2
155,23.645,31.653846153846157,0.0,6,4
156,23.594444444444445,31.97333333333334,0.10000000000000002,6,4
157,23.694444444444443,31.646666666666665,5.2,6,5
158,23.855555555555554,32.02666666666667,,6,7
159,23.868421052631575,31.46999999999999,30.0,6,8
160,23.587500000000002,32.077777777777776,4.1000000000000005,6,9
161,23.243750000000002,31.650000000000002,9.9,6,10
162,23.568181818181824,31.88333333333334,,6,11
163,23.40666666666667,31.541666666666668,10.9,6,12
164,23.642857142857142,31.369999999999997,0.0,6,12
165,23.25833333333333,31.58888888888889,4.550000000000001,6,14
166,23.764705882352946,31.427272727272726,,6,15
167,23.744444444444447,31.144444444444446,,6,16
168,23.605555555555558,31.394117647058827,1.0,6,17
169,23.68421052631579,31.400000000000006,,6,18
170,23.84666666666667,31.52,,6,19
171,23.455555555555556,31.707142857142856,,6,19
172,23.62352941176471,31.133333333333336,0.0,6,20
173,23.43333333333333,31.58,0.0,6,21
174,23.361904761904764,31.421428571428574,0.0,6,22
175,23.357142857142858,31.48,,6,24
176,23.463157894736845,31.3125,,6,24
177,23.500000000000004,30.99090909090909,,6,26
178,23.626666666666672,31.25,,6,27
179,23.440000000000005,31.387499999999996,0.0,6,27
180,23.38421052631579,31.200000000000006,,6,28
181,23.240000000000002,31.2,,6,30
182,23.176470588235297,31.266666666666662,0.0,6,30
183,23.576190476190476,31.536842105263162,,7,1
184,23.43333333333334,31.233333333333334,0.0,7,2
185,23.494999999999997,31.406666666666673,3.0,7,3
186,23.335294117647063,31.3,0.0,7,4
187,23.036842105263162,31.542857142857144,2.5500000000000003,7,5
188,23.257894736842104,31.440000000000005,0.0,7,6
189,22.423809523809528,31.584615384615386,0.0,7,7
190,23.07894736842105,31.730769230769226,,7,8
191,23.319999999999997,31.5,0.0,7,9
192,23.369999999999997,31.63333333333334,,7,10
193,23.146153846153844,31.5,,7,12
194,23.381249999999998,31.36428571428571,7.1000000000000005,7,13
195,23.158823529411766,31.65,4.1000000000000005,7,13
196,23.29375,31.75833333333333,,7,14
197,23.209523809523812,31.600000000000005,4.1000000000000005,7,16
198,23.440000000000005,31.109090909090913,59.900000000000006,7,16
199,23.058823529411764,31.54545454545455,,7,17
200,23.16842105263158,31.575,,7,18
201,23.276470588235295,31.358333333333334,0.0,7,20
202,22.864705882352936,30.323076923076933,22.1,7,20
203,22.86923076923077,31.27,0.0,7,21
204,22.90625,31.250000000000004,0.0,7,22
205,23.488235294117644,31.485714285714288,,7,24
206,23.361904761904764,31.360000000000003,0.0,7,25
207,23.178947368421053,31.64666666666667,,7,26
208,23.380000000000003,31.600000000000005,,7,27
209,23.268421052631577,31.7923076923077,0.0,7,28
210,23.280952380952378,31.18125,,7,28
211,23.325,30.923076923076923,,7,29
212,23.210000000000004,31.35555555555556,6.5,7,31
213,23.38947368421053,31.94615384615385,,8,1
214,23.469999999999995,31.093333333333337,,8,1
215,23.42222222222222,31.85333333333333,,8,3
216,23.25294117647059,31.28461538461538,0.0,8,4
217,23.40909090909091,31.426315789473687,,8,4
218,23.345,31.649999999999995,0.0,8,6
219,22.988235294117647,31.29090909090909,,8,6
220,22.99047619047619,31.384210526315794,,8,8
221,23.255555555555556,30.980000000000004,,8,8
222,23.06,31.50909090909091,,8,10
223,22.7,31.830000000000002,,8,11
224,22.983333333333334,32.13333333333333,0.0,8,12
225,23.06875,31.808333333333334,,8,12
226,23.13571428571429,31.53,0.0,8,13
227,23.125,31.566666666666674,,8,15
228,23.19473684210526,31.184615384615388,,8,16
229,23.45555555555556,31.30588235294118,,8,16
230,23.229411764705883,31.764285714285716,,8,17
231,23.04,31.63888888888889,0.0,8,19
232,23.122222222222224,31.484615384615385,70.10000000000001,8,20
233,23.025000000000002,31.118750000000002,21.333333333333332,8,20
234,22.978947368421053,31.84615384615385,1.0,8,22
235,23.39411764705883,30.946153846153848,,8,23
236,22.95,31.36842105263158,35.050000000000004,8,23
237,23.494117647058825,31.315384615384612,2.0,8,24
238,23.115,31.71428571428571,10.9,8,25
239,23.215789473684207,31.36923076923077,,8,27
240,23.668749999999996,31.499999999999996,,8,28
241,22.91176470588235,31.586666666666666,,8,28
242,23.09,31.337499999999995,,8,29
243,23.210526315789473,31.756249999999994,46.76666666666667,8,30
244,23.095238095238095,31.8125,,8,31
245,23.33684210526316,31.686666666666667,3.0,9,1
246,23.075,31.46,3.0,9,2
247,23.54,31.033333333333328,,9,3
248,23.425,31.52307692307692,3.0,9,5
249,23.346666666666668,31.678571428571423,,9,6
250,23.358823529411765,31.607692307692307,,9,7
251,23.405882352941177,32.166666666666664,,9,8
252,23.2,31.657142857142862,,9,9
253,23.305555555555557,31.61875,,9,10
254,22.970588235294116,31.67142857142857,,9,11
255,23.205882352941178,31.886666666666667,6.1000000000000005,9,11
256,23.41250000000001,31.946153846153848,0.0,9,12
257,23.28636363636364,31.24615384615385,0.0,9,13
258,23.330000000000002,31.694117647058828,12.05,9,14
259,23.64375,31.757142857142856,3.0,9,15
260,23.564285714285717,31.669999999999998,,9,16
261,23.323809523809523,31.764705882352942,,9,18
262,23.60625,31.661538461538466,,9,18
263,23.100000000000005,31.966666666666665,,9,20
264,23.17222222222222,31.473333333333333,5.1000000000000005,9,21
265,23.40476190476191,31.52777777777778,0.0,9,21
266,23.835,31.83125,0.0,9,23
267,23.575000000000003,32.30909090909091,,9,24
268,23.742105263157892,31.766666666666662,5.95,9,24
269,23.435294117647064,32.0076923076923,0.0,9,25
270,23.44,31.86,0.0,9,27
271,23.73571428571429,31.85,5.45,9,27
272,23.32,31.957894736842103,,9,28
273,23.12727272727273,31.93,5.666666666666667,9,30
274,23.400000000000002,31.46153846153846,,9,30
275,23.34090909090909,31.588888888888896,0.0,10,2
276,23.244444444444444,31.885714285714283,20.1,10,2
277,23.266666666666666,32.01538461538461,,10,3
278,23.61176470588235,32.4,1.0,10,4
279,23.38125,31.983333333333338,0.0,10,5
280,23.684615384615384,32.29166666666667,,10,7
281,23.32608695652174,32.05,0.0,10,7
282,23.34,31.992307692307694,0.0,10,9
283,23.33571428571429,32.02307692307693,,10,9
284,23.214999999999996,31.792857142857144,2.0,10,10
285,23.72631578947368,32.214285714285715,0.0,10,12
286,23.625,31.83846153846154,13.0,10,13
287,23.554999999999996,31.81764705882353,0.0,10,13
288,23.563157894736843,32.362500000000004,0.0,10,15
289,23.68,31.943749999999998,0.0,10,16
290,23.717647058823527,32.46153846153846,6.7,10,17
291,23.74736842105263,32.013333333333335,,10,17
292,23.6375,31.83846153846154,0.0,10,18
293,23.561111111111114,31.935714285714283,0.0,10,19
294,23.30625,32.11,24.0,10,21
295,23.314285714285713,32.15294117647059,0.0,10,21
296,24.15263157894737,32.01428571428572,0.0,10,23
297,23.766666666666666,31.827272727272724,0.0,10,24
298,23.61904761904762,31.952941176470592,0.0,10,25
299,23.900000000000002,32.26666666666667,,10,26
300,23.672727272727272,31.794117647058822,7.1000000000000005,10,26
301,23.72222222222222,32.09285714285714,0.0,10,27
302,23.98947368421053,31.962499999999995,,10,28
303,23.955555555555556,32.215384615384615,,10,30
304,23.33125,32.30769230769231,3.95,10,30
305,23.7235294117647,32.3,0.0,10,31
306,23.490909090909096,32.2375,0.0,11,2
307,23.794117647058822,32.15714285714285,0.0,11,2
308,23.756249999999998,31.91428571428571,,11,4
309,23.69375,32.175000000000004,0.0,11,4
310,23.544999999999995,32.11875,0.0,11,5
311,23.865384615384617,32.015,1.0,11,6
