DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,24.655,32.693333333333335,23.700000000000003,34.7,,1,1
2,24.71333333333333,32.36,22.0,34.1,,1,2
3,24.449999999999996,33.519999999999996,21.200000000000003,35.1,,1,3
4,24.76470588235294,32.800000000000004,23.3,35.5,,1,4
5,24.360000000000003,32.23076923076923,23.200000000000003,34.800000000000004,,1,5
6,24.10526315789473,32.15714285714286,22.700000000000003,34.300000000000004,,1,6
7,24.492857142857144,32.20909090909091,22.400000000000002,34.2,,1,7
8,24.778571428571432,32.730000000000004,23.8,35.6,,1,8
9,24.315000000000005,32.61875,21.700000000000003,34.4,110.0,1,9
10,24.4375,33.40833333333334,22.0,34.800000000000004,,1,10
11,24.616666666666667,32.83333333333333,22.6,35.0,,1,11
12,24.490476190476194,32.668749999999996,22.700000000000003,34.5,,1,12
13,24.540000000000003,32.464285714285715,23.0,35.0,,1,13
14,24.407142857142855,33.330000000000005,23.400000000000002,35.7,,1,14
15,24.63,32.864285714285714,23.1,36.1,,1,15
16,24.15,32.62727272727273,21.5,34.7,,1,16
17,24.410526315789475,32.47333333333333,23.0,34.800000000000004,,1,17
18,23.96666666666666,32.715384615384615,22.0,34.6,,1,18
19,24.13571428571429,32.481818181818184,22.400000000000002,36.2,,1,19
20,24.349999999999998,33.220000000000006,22.5,35.800000000000004,,1,20
21,24.61176470588235,32.862500000000004,22.3,34.6,,1,21
22,24.61052631578948,32.91250000000001,23.200000000000003,35.5,,1,22
23,24.613636363636363,33.013333333333335,21.0,35.7,,1,23
24,24.53846153846154,32.054545454545455,22.8,33.6,,1,24
25,24.125000000000004,32.633333333333326,22.0,35.4,,1,25
26,23.92941176470588,32.62727272727273,22.200000000000003,34.7,,1,26
27,24.56153846153846,33.150000000000006,22.400000000000002,35.300000000000004,,1,27
28,24.664705882352944,32.661538461538456,23.0,35.800000000000004,,1,28
29,24.49230769230769,33.01818181818182,21.0,34.800000000000004,,1,29
30,24.411111111111115,33.25,21.200000000000003,36.9,,1,30
31,24.71176470588236,33.30625,22.5,35.9,,1,31
32,24.625000000000004,32.38666666666666,23.700000000000003,34.7,56.900000000000006,2,1
33,24.458823529411767,33.19166666666667,22.0,36.6,,2,2
34,24.194117647058825,32.61538461538462,22.0,35.6,,2,3
35,24.7764705882353,32.52857142857143,23.200000000000003,34.800000000000004,,2,4
36,24.43,32.32,21.8,35.800000000000004,35.800000000000004,2,5
37,24.511111111111116,33.025,23.0,35.2,,2,6
38,24.394117647058827,32.162499999999994,21.400000000000002,34.7,,2,7
39,24.5,32.65,21.0,35.300000000000004,,2,8
40,24.281250000000004,32.51538461538461,23.0,35.800000000000004,9.1,2,9
41,24.407142857142862,32.800000000000004,23.3,35.1,,2,10
42,24.26842105263158,32.74285714285715,22.1,34.300000000000004,,2,11
43,24.54615384615385,32.21818181818182,23.3,34.800000000000004,,2,12
44,24.61904761904762,32.300000000000004,21.1,35.800000000000004,,2,13
45,24.483333333333334,32.78823529411765,21.8,36.2,,2,14
46,24.303999999999995,32.92499999999999,22.400000000000002,35.300000000000004,,2,15
47,24.743749999999995,32.86363636363637,21.700000000000003,35.1,,2,16
48,24.44705882352941,32.81666666666667,23.3,37.2,,2,17
49,24.133333333333336,32.76470588235294,21.6,34.4,,2,18
50,24.042105263157893,32.346666666666664,20.400000000000002,34.4,,2,19
