DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,8.041666666666666,13.568749999999998,2.7419354838709675,1,1
2,7.320512820512822,13.064705882352943,3.9030303030303024,1,2
3,8.156097560975608,12.408571428571427,5.341176470588235,1,3
4,7.405882352941177,12.393333333333334,2.0933333333333333,1,4
5,7.038888888888889,12.120000000000003,4.1466666666666665,1,5
6,6.673529411764707,11.71875,3.912903225806452,1,6
7,6.773529411764706,12.626666666666665,9.748148148148148,1,7
8,8.0225,13.081818181818182,10.71891891891892,1,8
9,7.6083333333333325,12.223529411764707,4.3,1,9
10,6.917500000000001,11.947058823529412,2.2676470588235293,1,10
11,6.963636363636362,11.161290322580644,4.358064516129032,1,11
12,6.4270270270270276,11.98484848484849,5.4714285714285715,1,12
13,6.379411764705881,11.699999999999998,7.083870967741936,1,13
14,6.487804878048781,11.077142857142858,1.5911764705882354,1,14
15,6.835294117647059,11.770000000000001,8.05,1,15
16,6.800000000000001,11.680555555555552,4.975,1,16
17,6.423333333333334,11.068,3.9827586206896552,1,17
18,6.302325581395348,11.271875000000001,5.272222222222222,1,18
19,6.814705882352942,10.95172413793103,2.28,1,19
20,6.931428571428572,11.282142857142858,2.8607142857142853,1,20
21,6.760000000000003,11.690625000000002,7.520689655172413,1,21
22,6.441025641025642,12.034375,5.4676470588235295,1,22
23,6.0057142857142845,11.764516129032257,4.6033333333333335,1,23
24,6.329411764705883,11.36551724137931,5.056666666666667,1,24
25,6.234210526315789,11.386666666666665,3.1125000000000003,1,25
26,6.3219512195121945,11.065714285714284,4.251515151515152,1,26
27,6.591666666666668,11.251515151515152,3.456666666666666,1,27
28,6.073684210526317,11.321212121212126,3.860606060606061,1,28
29,6.1171428571428565,11.110000000000001,3.8758620689655174,1,29
30,6.5666666666666655,11.722857142857146,11.399999999999999,1,30
31,5.957894736842105,11.499999999999998,4.090909090909091,1,31
32,6.236111111111113,11.546875,5.512903225806451,2,1
33,5.8175,10.922222222222222,4.916666666666666,2,2
34,5.531578947368422,10.621875,1.99,2,3
35,5.876315789473682,11.155882352941177,4.378125,2,4
36,6.270270270270271,11.543333333333333,8.4625,2,5
37,6.312820512820513,11.41388888888889,5.096875,2,6
38,5.437837837837837,10.9375,5.16969696969697,2,7
39,6.02972972972973,11.24193548387097,3.164285714285714,2,8
40,6.639024390243902,11.17941176470588,7.163888888888888,2,9
41,6.58918918918919,11.506451612903223,10.141935483870967,2,10
42,6.353658536585366,11.119444444444442,5.870588235294117,2,11
43,6.513513513513512,11.361290322580645,2.909090909090909,2,12
44,7.185365853658536,11.770588235294115,3.503125,2,13
45,7.085365853658535,12.664705882352944,3.635135135135135,2,14
46,6.517142857142859,12.541935483870969,7.069999999999999,2,15
47,6.306060606060608,11.81851851851852,3.3699999999999997,2,16
48,6.458333333333333,12.568750000000003,15.527272727272727,2,17
49,6.197499999999999,11.772222222222222,7.991176470588236,2,18
50,6.547499999999999,12.976666666666668,9.03125,2,19
51,6.881818181818182,12.17837837837838,7.421052631578948,2,20
52,6.729729729729728,11.713333333333333,5.954545454545454,2,21
53,6.506976744186045,11.914705882352942,2.035135135135135,2,22
54,7.072222222222223,12.777142857142858,7.316666666666666,2,23
55,6.779999999999999,12.096153846153843,5.874193548387097,2,24
56,6.6022727272727275,12.555555555555554,6.05,2,25
57,6.892307692307691,12.520588235294113,10.774285714285718,2,26
58,6.502857142857144,12.469999999999999,4.093548387096774,2,27
59,7.087179487179487,12.424137931034483,4.3028571428571425,2,28
60,7.584999999999999,13.36857142857143,7.028571428571428,3,1
61,6.833333333333332,12.113793103448277,6.062962962962962,3,2
62,6.8805555555555555,12.912903225806453,3.6545454545454543,3,3
63,8.121052631578948,13.077419354838709,4.485714285714286,3,4
64,7.483720930232557,12.921875,8.258333333333335,3,5
65,7.630303030303031,12.874999999999998,8.837037037037037,3,6
66,6.875000000000002,12.86875,6.887878787878789,3,7
67,7.5875,12.355882352941176,7.547368421052631,3,8
68,8.164864864864866,13.551515151515153,5.157575757575757,3,9
69,8.602631578947367,14.354545454545457,12.59705882352941,3,10
70,7.974285714285715,13.42222222222222,12.245161290322581,3,11
71,7.857894736842107,13.056666666666667,2.8028571428571425,3,12
72,8.029729729729732,13.649999999999997,8.487878787878788,3,13
73,8.124324324324327,13.365625,9.615625000000003,3,14
74,7.931818181818186,13.624242424242423,7.52051282051282,3,15
75,8.933333333333334,14.679999999999998,6.982352941176471,3,16
76,8.497297297297296,14.316129032258065,7.39,3,17
77,8.48157894736842,14.633333333333331,7.113513513513513,3,18
78,8.476315789473686,14.894117647058822,5.8966666666666665,3,19
79,8.482500000000002,15.183333333333337,6.711764705882352,3,20
80,9.651428571428573,15.017241379310345,10.981481481481481,3,21
81,9.287804878048782,14.865625,7.122857142857143,3,22
82,8.777777777777777,14.906060606060608,18.5375,3,23
83,8.875609756097562,15.242105263157896,7.364705882352942,3,24
84,9.257894736842106,14.161290322580648,9.19375,3,25
85,9.45263157894737,14.878125,5.748484848484848,3,26
86,9.208108108108107,14.975862068965515,10.890625,3,27
87,9.720512820512823,15.891176470588235,6.0249999999999995,3,28
88,10.154285714285713,16.05757575757576,6.6689655172413795,3,29
89,10.358823529411763,16.589655172413792,14.009677419354837,3,30
90,10.682926829268293,16.586111111111112,15.766666666666664,3,31
91,10.541666666666668,16.903225806451612,7.329032258064517,4,1
92,10.405128205128209,15.76388888888889,10.702857142857143,4,2
93,10.48285714285714,16.628125000000004,10.446666666666665,4,3
94,10.24102564102564,16.45,6.927272727272726,4,4
95,10.622499999999999,17.115625,4.252941176470588,4,5
96,11.009302325581398,18.051282051282048,10.869444444444444,4,6
97,11.548571428571428,18.206249999999994,4.633333333333334,4,7
98,12.102439024390247,18.348571428571432,15.141666666666667,4,8
99,11.516666666666666,17.268749999999997,7.545454545454546,4,9
100,11.214999999999998,17.52058823529412,10.877777777777778,4,10
101,11.539393939393936,17.333333333333332,8.948275862068966,4,11
102,11.691891891891892,17.725806451612907,7.509375,4,12
103,11.305000000000001,17.677142857142858,5.119444444444444,4,13
104,11.911764705882357,18.143333333333334,7.335714285714286,4,14
105,13.002941176470586,18.63125,12.944444444444445,4,15
106,12.864102564102565,18.502941176470586,6.085714285714285,4,16
107,12.415000000000003,18.68055555555556,8.702857142857143,4,17
108,12.560975609756097,18.372222222222224,10.717647058823532,4,18
109,13.042857142857144,18.712820512820514,7.225714285714285,4,19
110,13.066666666666668,19.475675675675678,10.082857142857144,4,20
111,13.61025641025641,19.827027027027032,9.357142857142858,4,21
112,13.357894736842105,18.91142857142857,7.052941176470589,4,22
113,13.758823529411764,19.138709677419353,9.733333333333333,4,23
114,14.082926829268295,19.47368421052631,6.263888888888889,4,24
115,13.505714285714285,19.64848484848485,13.123333333333331,4,25
116,12.997058823529413,19.736666666666668,5.75,4,26
117,13.318918918918916,20.184848484848487,3.35,4,27
118,14.058974358974357,20.00810810810811,5.8656250000000005,4,28
119,14.031578947368422,20.141176470588235,8.864705882352942,4,29
120,14.317073170731705,20.43076923076923,7.656756756756756,4,30
121,14.194736842105259,20.564705882352943,6.561764705882354,5,1
122,14.910810810810812,21.171428571428564,8.229411764705882,5,2
123,14.019444444444446,20.453571428571433,7.188888888888889,5,3
124,14.39772727272727,21.011904761904752,8.157894736842104,5,4
125,15.421052631578954,20.917142857142856,5.370967741935484,5,5
126,14.67837837837838,20.593939393939394,12.363333333333333,5,6
127,14.883783783783786,20.66363636363637,13.703571428571431,5,7
128,14.977142857142855,21.28387096774194,7.424242424242424,5,8
129,15.163157894736843,21.705882352941185,11.743749999999999,5,9
130,15.7925,21.535897435897443,7.754545454545454,5,10
131,15.35,21.289999999999996,7.810714285714286,5,11
132,15.210256410256411,21.732432432432432,7.647058823529412,5,12
133,15.935714285714287,22.235897435897435,8.138235294117647,5,13
134,15.558974358974357,21.660000000000007,18.288235294117644,5,14
135,15.7025,21.66,10.21142857142857,5,15
136,15.807692307692308,21.321428571428577,9.034375,5,16
137,15.978947368421053,21.779411764705884,11.664705882352942,5,17
138,15.66829268292683,21.464102564102557,3.5485714285714285,5,18
139,16.30294117647059,21.928125,5.761290322580645,5,19
140,16.583333333333332,22.15757575757576,9.10344827586207,5,20
141,16.03589743589743,21.52777777777778,10.793939393939395,5,21
142,15.897727272727273,21.963414634146343,7.069444444444445,5,22
143,16.03055555555556,21.568749999999994,12.406451612903227,5,23
144,16.165000000000003,22.309090909090912,10.811764705882354,5,24
145,16.664102564102564,22.418918918918923,1.7176470588235293,5,25
146,16.81176470588235,22.560000000000002,5.263333333333334,5,26
147,16.497435897435892,23.04722222222222,5.271428571428571,5,27
148,16.884999999999998,23.03611111111112,5.790909090909091,5,28
149,16.613157894736847,22.675000000000004,11.55625,5,29
150,17.078571428571426,22.881578947368425,8.248571428571429,5,30
151,17.133333333333333,23.072222222222234,13.790909090909093,5,31
152,17.462790697674418,23.138461538461538,5.0,6,1
153,17.09705882352941,23.293750000000003,5.4399999999999995,6,2
154,17.56666666666666,23.54,9.542857142857143,6,3
155,18.002702702702706,23.200000000000006,6.806451612903226,6,4
156,17.582500000000003,22.897142857142853,10.21666666666667,6,5
157,17.70681818181818,23.15,22.008333333333336,6,6
158,17.805555555555557,23.552777777777777,7.316129032258065,6,7
159,17.895454545454545,23.957499999999996,3.0885714285714285,6,8
160,18.4609756097561,24.2638888888889,15.58888888888889,6,9
161,18.995238095238093,24.082857142857147,15.258333333333335,6,10
162,19.088372093023256,23.429729729729733,9.341666666666665,6,11
163,19.169444444444448,23.80294117647059,12.41875,6,12
164,18.743589743589748,23.636111111111113,23.457575757575757,6,13
165,19.3425,23.330303030303032,16.936842105263157,6,14
166,19.05348837209302,24.217948717948726,13.154054054054054,6,15
167,19.307894736842105,23.854285714285716,15.630555555555556,6,16
168,19.367441860465124,24.33414634146342,13.294871794871796,6,17
169,19.762222222222217,24.564102564102566,12.897297297297298,6,18
170,19.641025641025642,24.584848484848482,16.729411764705883,6,19
171,19.909756097560972,24.628205128205128,13.316216216216217,6,20
172,20.510810810810813,24.39142857142857,11.13125,6,21
173,20.088888888888885,24.275000000000002,21.1125,6,22
174,19.407692307692308,24.327272727272728,21.79189189189189,6,23
175,20.21555555555556,24.891891891891888,12.92972972972973,6,24
176,20.474999999999998,24.939999999999994,8.656410256410258,6,25
177,21.074418604651168,25.69473684210526,15.340540540540541,6,26
178,21.177500000000002,25.771428571428572,8.390909090909092,6,27
179,21.218918918918924,25.091176470588234,12.075757575757576,6,28
180,20.88823529411765,25.389655172413793,12.75,6,29
181,20.524999999999995,25.375675675675677,8.097297297297299,6,30
182,20.914634146341463,25.60769230769231,17.962857142857143,7,1
183,21.565714285714286,25.53125,9.334375000000001,7,2
184,21.29047619047619,25.5375,10.94054054054054,7,3
185,21.885714285714286,26.28157894736842,9.494117647058825,7,4
186,22.182499999999994,26.713888888888892,13.296875,7,5
187,21.952777777777783,26.484375000000004,14.644827586206898,7,6
188,22.154761904761905,26.962162162162162,6.591176470588235,7,7
189,22.581081081081084,26.72571428571429,5.0125,7,8
190,22.59767441860465,27.071052631578944,1.2470588235294118,7,9
191,22.60000000000001,27.27750000000001,9.511111111111111,7,10
192,23.131818181818183,27.91219512195122,7.897435897435898,7,11
193,23.209302325581394,27.77179487179487,8.842105263157894,7,12
194,23.125641025641023,27.65428571428571,4.417142857142857,7,13
195,23.08181818181819,27.870000000000005,3.008333333333333,7,14
196,23.080952380952382,28.111904761904754,4.557142857142857,7,15
197,23.46153846153846,27.918421052631576,6.296875,7,16
198,23.25263157894737,27.91351351351351,10.937142857142858,7,17
199,23.449999999999996,28.078571428571433,13.970731707317071,7,18
200,23.468421052631573,27.762857142857147,6.035483870967742,7,19
201,22.897297297297303,28.016666666666666,12.85,7,20
202,23.07317073170732,27.935897435897434,7.216666666666667,7,21
203,22.702499999999997,27.935294117647064,12.136363636363637,7,22
204,23.085365853658534,28.243243243243242,5.551612903225807,7,23
205,23.39268292682927,28.236842105263158,3.324242424242424,7,24
206,23.605000000000004,28.350000000000005,3.5515151515151517,7,25
207,23.512195121951226,28.565789473684216,6.151351351351352,7,26
208,23.442857142857136,28.517142857142858,2.6156249999999996,7,27
209,23.288636363636364,28.55853658536585,6.511764705882353,7,28
210,23.426190476190477,28.894736842105264,4.665714285714286,7,29
211,23.682499999999997,28.81621621621622,7.0588235294117645,7,30
212,24.465714285714288,29.05294117647059,2.037931034482759,7,31
213,23.892500000000005,28.83783783783784,7.385714285714286,8,1
214,23.97631578947368,29.041666666666668,0.9966666666666667,8,2
215,23.763888888888893,28.620000000000005,6.394117647058823,8,3
216,23.66111111111111,28.560000000000002,13.693750000000001,8,4
217,24.265853658536585,29.016216216216215,3.8176470588235296,8,5
218,24.188095238095237,28.794736842105266,6.042424242424243,8,6
219,23.952380952380945,29.030952380952368,6.786111111111111,8,7
220,23.869230769230775,28.863888888888887,18.58823529411765,8,8
221,24.05652173913043,28.709090909090904,11.623684210526315,8,9
222,24.265,28.79444444444444,6.693939393939394,8,10
223,23.80263157894737,28.761111111111106,8.603225806451615,8,11
224,24.00487804878049,29.241463414634147,4.974285714285714,8,12
225,23.673529411764704,29.16875,3.851724137931034,8,13
226,23.96923076923077,29.057894736842105,4.92,8,14
227,24.158536585365848,28.799999999999994,4.78529411764706,8,15
228,24.28444444444444,28.92790697674419,9.789473684210527,8,16
229,24.33658536585366,28.622857142857143,20.037142857142857,8,17
230,23.93142857142857,29.00857142857143,7.796666666666667,8,18
231,24.329729729729728,28.77777777777778,4.948387096774193,8,19
232,24.012500000000003,28.936111111111114,10.514285714285714,8,20
233,24.552631578947366,29.011428571428574,10.709677419354838,8,21
234,23.9875,29.035000000000004,8.745454545454546,8,22
235,23.778378378378378,28.46764705882353,9.358620689655172,8,23
236,23.57714285714286,28.482352941176476,5.9781249999999995,8,24
237,23.884210526315787,28.282857142857136,10.581818181818184,8,25
238,23.56,28.073529411764707,5.562962962962962,8,26
239,23.38611111111111,28.481818181818184,9.828571428571431,8,27
240,23.223076923076917,28.544444444444448,6.34054054054054,8,28
241,23.188888888888894,28.6875,12.973333333333334,8,29
242,23.742857142857144,28.572972972972973,6.751351351351351,8,30
243,23.864864864864863,28.85555555555556,8.960606060606063,8,31
244,23.777777777777782,28.677142857142865,12.63225806451613,9,1
245,23.545000000000005,28.225641025641032,7.585294117647059,9,2
246,23.293023255813953,28.19473684210527,8.373170731707315,9,3
247,23.302500000000002,27.986486486486488,10.222857142857144,9,4
248,23.040540540540544,27.558823529411764,20.05,9,5
249,22.795,27.883333333333336,18.0,9,6
250,23.148717948717945,28.418421052631576,17.48611111111111,9,7
251,22.691891891891895,27.805882352941186,27.54848484848485,9,8
252,22.563636363636363,28.025806451612905,8.464516129032257,9,9
253,22.64411764705883,27.81176470588235,6.823333333333333,9,10
254,22.937209302325584,28.03846153846154,10.524324324324324,9,11
255,23.14871794871795,27.46923076923077,10.53125,9,12
256,22.29210526315789,27.35,8.576470588235296,9,13
257,21.82820512820513,26.661111111111104,10.758823529411764,9,14
258,21.985365853658543,26.844736842105263,11.689743589743593,9,15
259,22.178947368421056,26.40833333333333,6.72,9,16
260,21.55,26.442424242424238,11.596875,9,17
261,21.929999999999996,26.589189189189188,4.697297297297297,9,18
262,21.936842105263164,26.513888888888893,16.6,9,19
263,21.713333333333328,26.366666666666667,8.175862068965516,9,20
264,21.566666666666663,25.793939393939397,10.186666666666667,9,21
265,21.335135135135136,26.11470588235294,8.213888888888889,9,22
266,20.88333333333334,25.148484848484845,15.61176470588235,9,23
267,20.710526315789473,25.00857142857143,17.66176470588235,9,24
268,20.999999999999993,25.362857142857138,11.779411764705882,9,25
269,20.65555555555555,25.143749999999997,13.75151515151515,9,26
270,20.697297297297297,24.602777777777774,13.133333333333335,9,27
271,20.183333333333334,24.458064516129035,26.687878787878788,9,28
272,20.2775,24.120588235294115,13.876470588235293,9,29
273,19.636111111111116,24.62571428571429,16.263636363636362,9,30
274,19.84390243902439,24.402702702702705,13.44102564102564,10,1
