PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1970-01-01,1970,1,7.80,13.90,7.80,17.20,353.50,12.80,21.10,12.20,22.20,518.90,0.00,170.00,0,343,1749,31,31,31
1970-02-01,1970,2,7.80,16.10,6.10,17.80,324.60,16.10,23.90,13.90,27.20,542.20,0.00,53.00,0,318,587,28,28,28
1970-03-01,1970,3,10.00,17.20,8.90,18.90,407.20,15.00,21.10,13.90,26.10,560.50,0.00,180.00,0,556,2388,31,31,31
1970-04-01,1970,4,12.80,21.10,10.00,21.10,503.80,18.90,25.00,18.90,27.20,673.90,0.00,122.00,0,1003,1639,30,30,30
1970-05-01,1970,5,17.20,22.80,13.90,25.00,646.20,23.90,30.00,22.20,32.20,841.20,0.00,231.00,0,470,2008,31,31,31
1970-06-01,1970,6,21.10,27.20,18.90,27.20,727.50,26.10,32.20,23.90,32.80,884.90,0.00,348.00,0,767,2580,30,30,30
1970-07-01,1970,7,23.90,27.80,22.20,27.80,806.50,28.90,32.80,27.80,32.80,977.00,0.00,279.00,0,564,1826,31,31,31
1970-08-01,1970,8,25.00,27.80,25.00,27.80,829.70,30.00,32.80,27.80,35.00,978.90,0.00,188.00,0,290,1694,31,31,31
1970-09-01,1970,9,22.20,27.20,22.20,27.20,722.30,27.80,31.10,26.10,31.10,874.60,0.00,89.00,0,150,785,30,30,30
1970-10-01,1970,10,17.80,23.90,15.00,26.10,669.00,23.90,28.90,22.20,31.10,827.30,0.00,58.00,0,881,1247,31,31,31
1970-11-01,1970,11,13.90,17.80,11.10,21.10,490.40,21.10,25.00,17.80,25.00,683.60,0.00,38.00,0,480,885,30,30,30
1970-12-01,1970,12,11.10,17.20,7.80,17.80,439.00,17.20,22.20,16.10,25.00,617.60,0.00,127.00,0,815,2308,31,31,31
1971-01-01,1971,1,7.80,12.80,3.90,15.00,310.10,12.80,18.90,12.20,21.10,490.60,0.00,91.00,0,284,979,31,31,31
1971-02-01,1971,2,7.80,15.00,2.80,17.80,305.10,12.80,21.10,11.10,22.20,486.10,0.00,41.00,0,145,456,28,28,28
1971-03-01,1971,3,8.90,17.20,7.20,18.90,382.70,16.10,22.80,13.90,25.00,609.50,0.00,53.00,0,140,452,31,31,31
1971-04-01,1971,4,13.90,20.00,11.10,21.10,517.60,22.20,23.90,18.90,26.10,676.70,0.00,109.00,0,729,1601,30,30,30
1971-05-01,1971,5,12.80,23.90,12.20,25.00,596.10,23.90,28.90,18.90,30.00,789.50,0.00,15.00,0,297,434,31,31,31
1971-06-01,1971,6,22.80,27.20,22.20,27.20,752.70,27.80,32.20,27.20,32.80,905.50,0.00,107.00,0,597,1689,30,30,30
1971-07-01,1971,7,25.00,27.80,23.90,28.90,827.00,32.20,32.80,31.10,33.90,1009.60,0.00,20.00,0,25,160,31,31,31
1971-08-01,1971,8,23.90,27.20,22.20,27.80,786.00,28.90,32.20,27.80,32.20,955.30,0.00,165.00,0,843,2178,31,31,31
1971-09-01,1971,9,23.90,27.20,22.80,27.80,772.10,28.90,32.20,27.80,32.20,916.50,0.00,165.00,0,958,2392,30,30,30
1971-10-01,1971,10,17.80,26.10,17.20,26.10,698.10,23.90,30.00,22.20,32.20,844.50,0.00,91.00,0,356,1347,31,31,31
1971-11-01,1971,11,16.10,18.90,13.90,22.20,536.60,22.20,27.20,18.90,27.20,729.90,0.00,53.00,0,422,1151,30,30,28
1971-12-01,1971,12,12.80,17.20,12.20,17.80,478.20,17.80,23.90,17.80,26.10,658.40,0.00,193.00,0,940,2241,31,31,31
1972-01-01,1972,1,10.00,17.80,8.90,21.10,455.00,17.20,22.80,16.10,26.10,643.20,0.00,109.00,0,1039,1840,31,31,31
1972-02-01,1972,2,11.10,16.10,7.80,17.80,403.80,16.10,21.10,12.80,23.90,543.50,0.00,157.00,0,1044,2486,29,29,29
1972-03-01,1972,3,8.90,17.80,7.20,20.00,416.60,15.00,23.90,12.20,26.10,635.00,0.00,74.00,0,178,589,31,31,31
1972-04-01,1972,4,12.20,21.10,11.10,22.20,511.50,18.90,26.10,15.00,27.20,677.20,0.00,152.00,0,231,1111,30,30,30
1972-05-01,1972,5,17.80,23.90,16.10,25.00,659.50,23.90,28.90,22.20,31.10,839.60,0.00,323.00,0,1029,3155,31,31,31
1972-06-01,1972,6,22.80,27.80,22.20,27.80,772.20,28.90,32.20,27.20,33.90,922.10,0.00,196.00,0,1974,3493,30,30,30
