MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,8.533333333333333,20.933333333333334,3.9000000000000004,26.1,152.26666666666668
2,8.9,22.03333333333333,2.8000000000000003,27.200000000000003,117.63333333333334
3,9.266666666666666,22.600000000000005,7.2,26.1,114.3
4,12.966666666666669,25.0,10.0,27.200000000000003,145.03333333333333
5,15.933333333333332,29.26666666666667,12.200000000000001,32.2,186.5666666666667
6,22.233333333333334,32.2,18.900000000000002,33.9,258.7333333333334
7,24.450000000000003,32.800000000000004,22.200000000000003,33.9,99.30000000000001
8,24.450000000000003,32.5,22.200000000000003,35.0,193.60000000000002
9,23.050000000000004,31.650000000000002,22.200000000000003,32.2,158.85000000000002
10,17.8,29.450000000000003,15.0,32.2,129.70000000000002
11,15.0,26.1,11.100000000000001,27.200000000000003,101.79999999999998
12,11.950000000000001,23.050000000000004,7.800000000000001,26.1,227.45000000000002
