MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,8.533333333333333,20.933333333333334,152.26666666666668
2,8.9,22.03333333333333,117.63333333333334
3,9.266666666666666,22.600000000000005,114.3
4,12.966666666666669,25.0,145.03333333333333
5,15.933333333333332,29.26666666666667,186.5666666666667
6,22.233333333333334,32.2,258.7333333333334
7,24.450000000000003,32.800000000000004,99.30000000000001
8,24.450000000000003,32.5,193.60000000000002
9,23.050000000000004,31.650000000000002,158.85000000000002
10,17.8,29.450000000000003,129.70000000000002
11,15.0,26.1,101.79999999999998
12,11.950000000000001,23.050000000000004,227.45000000000002
