DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,15.49,20.76,11.60,25.10,47.24,1,1
2,16.08,20.76,11.70,26.40,38.12,1,2
3,16.18,20.85,12.80,25.00,68.05,1,3
4,16.24,20.68,10.80,25.00,75.70,1,4
5,15.61,20.61,12.00,25.50,67.75,1,5
6,16.05,21.02,10.00,26.30,21.69,1,6
7,16.35,21.82,10.80,25.50,57.31,1,7
8,15.76,20.52,11.00,24.70,46.88,1,8
9,15.46,20.30,11.00,25.10,51.58,1,9
10,15.39,20.45,10.60,25.50,49.71,1,10
11,15.77,20.82,12.00,26.10,24.92,1,11
12,15.70,20.23,11.60,26.40,44.49,1,12
13,15.50,19.89,10.50,25.00,47.98,1,13
14,14.84,19.99,10.50,25.40,66.42,1,14
15,15.66,20.32,12.00,25.30,82.65,1,15
16,15.45,20.09,9.40,25.00,43.24,1,16
17,15.27,20.72,10.70,24.70,44.51,1,17
18,16.12,21.15,12.00,29.00,61.53,1,18
19,15.51,20.91,10.40,26.30,43.56,1,19
20,16.18,21.02,10.30,25.70,37.72,1,20
21,15.89,20.47,10.70,25.30,43.98,1,21
22,15.67,21.29,11.00,26.20,65.16,1,22
23,15.22,20.02,12.00,25.30,54.36,1,23
24,15.27,19.43,10.50,25.20,35.33,1,24
25,14.66,20.21,7.50,24.60,31.55,1,25
26,15.00,20.03,10.70,24.10,34.07,1,26
27,15.55,19.22,11.30,24.50,70.41,1,27
28,15.16,20.14,9.60,25.30,72.65,1,28
29,14.98,20.04,11.20,26.50,70.91,1,29
30,15.54,20.66,11.70,25.60,63.75,1,30
31,15.69,20.18,11.00,25.50,43.14,1,31
32,15.42,19.82,11.00,25.80,47.02,2,1
33,15.15,20.14,10.00,26.00,39.26,2,2
34,15.60,20.00,10.70,26.00,29.05,2,3
35,15.33,20.85,8.70,26.20,42.49,2,4
36,16.00,21.00,10.30,25.80,46.64,2,5
37,15.69,20.69,10.70,25.00,54.11,2,6
38,14.54,20.56,9.40,25.30,35.37,2,7
39,15.55,20.68,10.30,25.20,67.40,2,8
40,15.33,20.68,11.00,26.70,56.14,2,9
41,15.53,20.85,10.60,26.00,46.12,2,10
42,15.59,21.08,11.60,27.30,43.29,2,11
43,16.19,20.87,10.90,25.50,55.68,2,12
44,16.41,21.73,11.00,26.40,40.26,2,13
45,16.29,22.42,11.20,27.10,99.14,2,14
46,17.00,21.22,12.30,27.10,70.44,2,15
47,15.96,21.42,12.70,26.50,41.74,2,16
48,16.42,20.95,7.00,26.20,34.02,2,17
49,16.07,21.52,9.00,26.00,49.17,2,18
50,15.92,21.61,10.00,27.10,54.98,2,19
51,16.03,20.83,11.00,27.00,104.68,2,20
52,15.87,20.73,12.20,25.30,43.35,2,21
53,16.49,21.83,11.00,26.10,42.68,2,22
54,16.78,21.62,10.00,27.00,116.72,2,23
55,16.76,21.26,11.00,27.50,63.04,2,24
56,16.85,21.41,13.00,26.90,35.36,2,25
57,16.10,21.79,10.00,27.20,37.93,2,26
58,16.40,22.64,9.00,27.60,96.29,2,27
59,16.49,22.06,10.20,26.00,68.09,2,28
60,17.10,21.41,13.00,26.00,38.73,2,29
61,16.63,21.72,9.60,26.90,57.17,3,1
62,15.57,21.20,9.20,27.40,24.81,3,2
63,16.57,21.35,10.60,27.20,48.52,3,3
64,16.68,22.00,10.40,27.20,48.31,3,4
65,16.08,21.31,10.00,27.90,57.33,3,5
66,15.81,21.46,9.20,28.20,62.10,3,6
67,16.12,21.69,10.70,26.70,54.46,3,7
68,16.82,21.82,11.50,26.50,52.83,3,8
69,16.42,22.72,13.50,26.60,58.35,3,9
70,16.75,22.11,12.00,26.60,60.45,3,10
71,16.47,22.23,11.90,26.00,50.90,3,11
72,17.22,22.75,13.90,26.80,49.51,3,12
73,17.30,23.18,11.20,27.00,34.76,3,13
74,17.66,23.07,11.30,26.10,82.97,3,14
75,17.37,23.49,13.70,27.10,88.00,3,15
76,17.90,23.23,14.50,27.30,47.21,3,16
77,17.77,23.28,13.70,27.50,42.42,3,17
78,18.38,22.72,11.20,27.00,42.07,3,18
79,18.33,23.14,13.80,27.00,55.00,3,19
80,17.82,23.87,13.00,27.30,59.84,3,20
81,18.80,23.28,13.00,27.60,33.88,3,21
82,17.84,23.64,13.00,27.10,41.95,3,22
83,17.74,22.92,14.00,27.80,53.31,3,23
84,17.50,22.90,12.00,27.70,25.66,3,24
85,17.63,22.82,12.00,27.40,44.73,3,25
86,17.97,23.45,12.90,28.30,67.62,3,26
87,18.38,23.87,12.10,28.10,66.49,3,27
88,18.49,23.78,13.70,28.40,67.35,3,28
89,18.61,23.66,12.60,28.60,73.82,3,29
90,18.35,23.80,13.80,27.90,66.74,3,30
91,19.04,23.92,13.70,27.90,47.51,3,31
92,19.10,23.68,14.00,28.20,45.10,4,1
93,17.87,23.48,12.00,27.80,40.41,4,2
94,18.02,23.70,13.00,27.70,52.07,4,3
95,18.80,23.98,13.00,28.60,50.85,4,4
96,18.93,24.32,14.80,29.40,30.56,4,5
97,19.63,24.49,14.40,29.00,55.91,4,6
98,19.77,24.43,16.00,28.10,131.81,4,7
99,19.85,24.58,14.10,28.40,75.03,4,8
100,19.88,25.36,15.00,28.80,40.11,4,9
101,20.56,25.06,15.30,29.00,79.36,4,10
102,19.95,25.07,15.10,29.40,68.27,4,11
103,19.74,24.92,14.90,29.40,41.18,4,12
104,19.09,24.39,14.80,28.60,131.82,4,13
105,19.79,24.96,14.90,29.00,145.49,4,14
106,19.77,24.95,15.00,28.00,73.88,4,15
107,20.29,24.96,16.00,29.00,34.11,4,16
108,19.98,25.51,15.80,29.00,71.70,4,17
109,20.25,25.85,15.00,29.30,43.54,4,18
110,20.99,25.73,16.00,28.50,119.82,4,19
111,21.18,25.80,16.00,29.50,68.25,4,20
112,20.94,26.54,15.90,29.00,94.95,4,21
113,22.17,26.02,17.00,29.50,40.49,4,22
114,20.92,26.17,15.20,29.60,67.56,4,23
115,20.46,26.49,15.90,30.00,60.32,4,24
116,21.03,26.06,18.10,30.00,34.62,4,25
117,21.06,26.02,18.00,30.30,71.69,4,26
118,20.79,25.68,17.00,30.00,116.60,4,27
119,21.20,26.18,17.50,30.00,109.39,4,28
120,21.28,26.67,16.90,30.20,69.13,4,29
121,21.39,26.92,17.00,30.20,49.86,4,30
122,22.05,27.06,19.50,29.80,55.59,5,1
123,22.54,27.00,20.00,30.40,55.02,5,2
124,21.60,27.10,17.50,30.20,56.30,5,3
125,21.98,26.75,18.00,30.00,95.55,5,4
126,22.01,26.77,18.00,30.00,76.93,5,5
127,21.91,27.03,16.80,30.00,201.55,5,6
128,22.34,27.28,18.50,30.00,80.66,5,7
129,22.06,27.64,19.40,30.70,61.41,5,8
130,22.68,27.71,19.50,31.00,49.79,5,9
131,22.46,27.46,19.20,30.40,125.08,5,10
132,22.41,27.52,19.00,30.80,71.26,5,11
133,22.43,27.83,19.00,31.00,95.84,5,12
134,22.87,28.16,19.30,31.00,77.74,5,13
135,23.45,28.10,21.00,31.00,104.08,5,14
136,22.82,27.97,17.80,31.20,46.89,5,15
137,23.12,27.69,18.60,31.30,70.10,5,16
138,22.80,28.09,19.50,32.00,109.07,5,17
139,22.70,27.80,17.00,31.00,162.95,5,18
140,23.05,28.05,17.00,31.00,104.90,5,19
141,23.28,27.83,17.00,30.60,90.21,5,20
142,23.00,27.66,19.00,31.00,179.53,5,21
143,22.94,28.03,18.90,30.80,131.39,5,22
144,23.07,27.99,19.80,31.00,171.80,5,23
145,22.89,27.79,19.70,30.50,117.25,5,24
146,22.67,28.00,19.00,30.80,89.28,5,25
147,23.04,28.11,16.00,31.50,62.95,5,26
148,23.73,28.36,20.00,31.70,63.08,5,27
149,23.79,28.22,19.50,31.70,143.33,5,28
150,24.10,28.08,19.60,31.10,75.49,5,29
151,23.85,28.21,20.10,31.20,64.05,5,30
152,23.56,28.47,20.00,31.80,121.15,5,31
153,23.91,28.72,19.00,31.30,137.12,6,1
154,23.66,28.57,19.50,31.90,73.22,6,2
155,23.94,28.71,21.00,32.50,125.71,6,3
156,23.87,28.89,19.50,32.30,134.18,6,4
157,24.23,28.65,18.80,32.10,89.28,6,5
158,23.93,28.80,19.00,31.40,68.74,6,6
159,23.98,29.05,20.90,31.20,143.56,6,7
160,24.83,29.56,18.30,32.40,102.95,6,8
161,24.52,29.09,20.00,31.40,194.29,6,9
162,24.74,29.36,20.00,32.00,131.55,6,10
163,24.88,29.47,18.90,32.10,86.45,6,11
164,25.05,29.53,21.00,31.90,113.95,6,12
165,25.26,29.70,19.00,32.10,78.71,6,13
166,24.87,29.93,19.90,32.10,78.59,6,14
167,25.56,29.81,22.00,32.30,114.08,6,15
168,25.29,30.12,22.50,32.30,119.71,6,16
169,25.60,30.44,21.10,32.50,36.30,6,17
170,25.70,30.13,22.60,32.50,85.39,6,18
171,25.71,30.38,23.70,32.60,46.14,6,19
172,25.99,30.38,21.00,32.60,28.77,6,20
173,25.74,30.69,22.20,32.60,30.17,6,21
174,26.17,30.93,24.00,32.20,42.62,6,22
175,26.13,31.04,23.50,32.50,46.50,6,23
176,26.28,30.87,23.00,32.60,56.15,6,24
177,25.91,31.07,21.00,32.50,63.76,6,25
178,26.11,31.14,23.80,32.60,88.34,6,26
179,26.49,31.36,24.50,33.00,15.24,6,27
180,26.39,31.37,22.50,33.30,25.50,6,28
181,26.11,31.43,23.00,33.10,25.27,6,29
182,26.34,31.55,23.00,33.10,23.62,6,30
183,26.24,31.81,23.00,33.00,17.30,7,1
184,26.25,31.51,24.00,33.40,13.65,7,2
185,26.37,31.42,23.00,33.70,80.84,7,3
186,26.40,31.26,24.00,33.20,70.97,7,4
187,26.56,31.29,22.00,33.20,95.74,7,5
188,26.20,31.41,22.00,33.10,83.67,7,6
189,26.17,31.56,22.00,33.60,40.78,7,7
190,26.25,31.47,24.00,33.50,43.36,7,8
191,26.05,31.55,22.00,34.00,59.62,7,9
192,26.22,31.44,24.00,33.30,54.44,7,10
193,26.34,31.44,24.00,34.20,85.18,7,11
194,26.59,31.71,24.00,33.30,33.69,7,12
195,26.60,31.87,24.00,34.00,34.73,7,13
196,26.17,31.76,24.00,34.10,50.51,7,14
197,26.15,31.66,24.00,33.80,20.78,7,15
198,26.12,31.78,23.00,33.80,47.76,7,16
199,26.66,31.92,24.00,33.80,115.95,7,17
200,26.30,31.89,23.90,33.60,73.13,7,18
201,25.94,31.64,24.00,33.90,128.92,7,19
202,25.97,31.97,22.90,34.20,71.00,7,20
203,26.37,31.97,24.00,33.70,44.95,7,21
204,25.99,31.75,23.30,34.20,105.50,7,22
205,26.07,32.02,23.00,34.20,58.51,7,23
206,25.74,31.85,22.90,33.60,70.78,7,24
207,26.14,31.61,23.00,33.80,44.71,7,25
208,25.81,31.74,24.00,33.70,70.58,7,26
209,26.00,31.50,23.70,33.50,83.37,7,27
210,26.05,31.75,23.30,33.50,40.85,7,28
211,25.81,31.69,23.00,33.50,57.40,7,29
212,26.01,31.36,24.00,33.80,40.79,7,30
213,26.09,31.94,23.00,39.00,107.98,7,31
214,26.00,31.65,23.00,34.10,70.03,8,1
215,25.96,31.62,24.00,34.10,94.15,8,2
216,25.84,31.43,23.80,34.20,130.22,8,3
217,25.55,31.49,23.80,34.10,49.84,8,4
218,25.74,31.24,23.50,33.10,126.91,8,5
219,25.78,31.16,23.00,33.10,115.21,8,6
220,25.84,31.17,24.00,33.30,90.21,8,7
221,25.82,31.13,24.50,34.10,67.97,8,8
222,26.23,31.05,24.80,33.50,109.95,8,9
223,26.19,31.16,24.00,33.40,92.38,8,10
224,26.04,31.35,24.00,33.10,152.28,8,11
225,26.16,31.29,24.00,33.10,171.85,8,12
226,25.98,31.21,24.00,33.20,64.44,8,13
227,26.32,31.41,23.90,33.70,71.03,8,14
228,26.21,31.52,24.00,33.40,74.36,8,15
229,25.92,31.58,24.00,34.00,154.98,8,16
230,26.21,31.28,23.70,34.00,87.29,8,17
231,25.92,31.25,24.00,33.20,85.86,8,18
232,26.02,31.13,23.30,33.60,83.86,8,19
233,25.95,31.19,24.00,33.10,83.26,8,20
234,25.89,31.17,23.00,33.00,62.98,8,21
235,26.07,31.12,24.40,34.00,146.42,8,22
236,25.08,31.11,23.00,33.50,123.37,8,23
237,25.77,31.12,24.00,33.70,196.68,8,24
238,25.67,31.06,24.00,33.00,89.37,8,25
239,26.06,31.18,23.00,33.10,59.38,8,26
240,25.63,30.92,23.00,33.10,91.39,8,27
241,25.16,31.04,22.00,33.60,58.70,8,28
242,25.70,30.80,23.00,33.80,133.88,8,29
243,25.77,30.67,22.00,33.20,167.41,8,30
244,25.52,30.96,23.00,32.50,148.68,8,31
245,25.15,30.64,22.00,32.40,152.75,9,1
246,25.38,30.79,23.30,32.10,86.76,9,2
247,25.53,30.82,24.00,32.40,57.00,9,3
248,25.55,30.81,24.00,33.20,120.46,9,4
249,25.38,30.83,23.00,32.50,64.35,9,5
250,25.67,30.73,24.40,32.50,168.70,9,6
251,25.34,30.55,21.00,33.00,50.90,9,7
252,25.38,30.56,23.00,32.00,31.81,9,8
253,25.18,30.50,23.00,32.00,54.75,9,9
254,25.09,30.36,23.00,32.80,149.50,9,10
255,25.55,30.23,23.50,32.00,168.84,9,11
256,25.12,30.38,21.00,33.90,128.29,9,12
257,25.40,30.38,21.00,33.20,140.59,9,13
258,25.35,30.44,22.70,32.90,184.71,9,14
259,25.02,30.30,22.00,32.70,83.35,9,15
260,25.37,30.07,22.40,32.00,76.06,9,16
261,25.22,29.73,23.00,31.90,68.00,9,17
262,24.55,29.54,20.60,32.10,93.26,9,18
263,24.78,29.69,23.10,32.10,61.10,9,19
264,24.70,29.68,22.20,32.60,84.90,9,20
265,24.87,29.58,22.00,32.10,93.32,9,21
266,25.08,29.60,23.00,32.20,93.43,9,22
267,24.75,29.47,22.00,31.70,43.05,9,23
268,24.56,29.67,22.00,31.40,120.31,9,24
269,24.54,29.61,22.70,31.50,46.61,9,25
270,24.11,29.24,20.70,31.30,128.57,9,26
271,24.18,29.04,22.00,31.30,105.90,9,27
272,24.32,28.91,20.90,31.90,144.42,9,28
273,24.21,29.18,22.00,31.70,168.58,9,29
274,24.23,29.13,22.00,31.80,48.31,9,30
275,24.36,29.28,23.00,32.40,87.39,10,1
276,24.04,29.34,21.00,32.20,29.26,10,2
277,24.04,29.32,21.90,31.60,42.35,10,3
278,24.56,28.91,21.00,32.00,112.08,10,4
279,24.18,28.76,22.00,30.70,106.33,10,5
280,23.76,28.67,21.00,31.40,92.36,10,6
281,23.84,28.58,22.10,31.00,66.63,10,7
282,24.13,28.34,22.00,31.00,56.39,10,8
283,23.74,28.23,21.10,31.20,94.08,10,9
284,23.54,28.19,21.00,31.20,89.67,10,10
285,23.85,28.28,21.70,30.20,58.33,10,11
286,23.76,28.37,21.60,30.80,63.17,10,12
287,23.64,28.34,19.00,30.70,86.03,10,13
288,23.53,28.16,21.60,30.70,58.05,10,14
289,23.71,27.67,21.00,30.40,78.38,10,15
290,22.95,28.08,20.00,31.10,80.22,10,16
291,23.32,27.23,20.70,30.60,32.92,10,17
292,23.19,27.44,20.20,30.30,42.78,10,18
293,23.43,27.24,20.60,30.00,36.31,10,19
294,23.12,27.19,20.00,30.90,57.87,10,20
295,23.19,27.44,19.20,31.10,33.59,10,21
296,22.56,27.41,19.00,30.70,66.22,10,22
297,22.85,27.01,20.00,29.70,72.77,10,23
298,22.44,27.21,19.00,31.20,109.79,10,24
299,22.51,26.63,19.00,30.10,81.07,10,25
300,22.40,27.21,18.00,30.80,49.86,10,26
301,22.37,26.78,20.00,30.30,62.32,10,27
302,22.05,27.02,19.50,30.30,47.34,10,28
303,22.01,26.79,17.00,29.70,54.82,10,29
304,22.50,26.45,19.00,30.30,54.69,10,30
305,21.81,26.99,18.90,30.00,126.49,10,31
306,21.86,26.43,19.00,30.10,178.50,11,1
307,21.79,25.69,19.00,30.20,75.28,11,2
308,21.39,25.98,18.90,30.20,39.90,11,3
309,21.60,26.30,18.00,29.10,81.63,11,4
310,21.96,26.42,18.80,29.50,30.97,11,5
311,22.29,26.58,19.40,30.00,36.66,11,6
312,21.94,26.55,20.00,30.10,37.20,11,7
313,21.38,26.52,18.00,30.30,42.19,11,8
314,21.70,25.65,17.00,29.00,76.86,11,9
315,20.48,25.41,17.40,29.10,62.83,11,10
316,20.71,25.20,16.50,29.80,47.38,11,11
317,20.37,25.25,15.40,28.00,31.31,11,12
318,20.74,25.55,17.70,28.80,61.16,11,13
319,20.96,25.23,17.00,28.50,46.38,11,14
320,20.96,25.74,16.00,30.00,42.05,11,15
321,20.69,25.40,17.00,29.70,39.02,11,16
322,21.07,24.86,18.00,28.00,124.07,11,17
323,20.52,24.23,16.60,27.90,73.66,11,18
324,19.14,24.64,15.00,29.20,44.48,11,19
325,19.93,24.65,16.40,28.10,50.98,11,20
326,19.91,24.69,16.00,27.80,40.32,11,21
327,19.88,24.53,15.60,28.00,63.70,11,22
328,19.91,23.94,15.00,27.70,67.66,11,23
329,19.27,24.23,13.00,27.30,43.92,11,24
330,19.72,24.28,14.20,27.60,74.13,11,25
331,19.20,24.23,14.70,28.80,51.56,11,26
332,18.97,23.85,16.20,28.70,92.64,11,27
333,19.15,23.18,14.00,27.30,92.63,11,28
334,18.69,22.97,13.90,27.40,40.93,11,29
335,19.08,23.26,15.60,26.80,49.59,11,30
336,18.24,22.85,15.00,26.90,65.67,12,1
337,18.62,23.25,14.00,27.30,42.15,12,2
338,18.28,23.00,14.00,26.70,25.42,12,3
339,18.38,23.46,14.10,28.80,87.07,12,4
340,18.65,22.96,15.90,27.20,51.98,12,5
341,18.20,21.89,13.80,27.00,84.08,12,6
342,17.67,22.89,13.90,27.40,45.80,12,7
343,18.22,22.20,14.90,26.20,40.04,12,8
344,18.67,22.14,15.50,26.50,123.33,12,9
345,18.34,22.88,12.00,27.00,52.70,12,10
346,17.64,22.83,12.00,27.50,55.05,12,11
347,18.06,22.00,14.50,26.50,35.72,12,12
348,17.61,22.21,14.00,27.40,51.10,12,13
349,17.87,22.06,13.00,25.90,58.63,12,14
350,17.43,21.94,13.00,25.20,43.00,12,15
351,17.79,21.92,13.00,26.00,41.45,12,16
352,16.97,21.99,12.40,26.60,28.02,12,17
