MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,13.203773584905662,24.261224489795918,125.46199999999999
2,13.441509433962258,24.881249999999998,128.33673469387756
3,14.771698113207549,26.23333333333333,137.33137254901965
4,18.016981132075475,28.137499999999992,141.29215686274512
5,21.33018867924528,30.165957446808516,211.23921568627455
6,24.198113207547163,31.823404255319144,192.42692307692306
7,26.177358490566043,33.110638297872335,141.7509803921569
8,25.605769230769234,32.97291666666667,227.37600000000006
9,24.17884615384616,32.0875,235.20799999999997
10,21.734615384615385,30.460416666666664,181.495918367347
11,18.586538461538467,28.317021276595742,136.90612244897957
12,15.042307692307698,25.657777777777785,134.04285714285714
