DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-5.396875,2.1600000000000006,-12.700000000000001,9.9,13.384615384615385,1,1
2,-4.673076923076923,1.9774999999999998,-15.0,9.5,15.333333333333334,1,2
3,-6.787500000000001,2.4274999999999993,-16.400000000000002,9.4,10.31578947368421,1,3
4,-6.819354838709678,1.454761904761905,-16.0,11.8,11.866666666666667,1,4
5,-6.322857142857143,0.8024999999999999,-19.200000000000003,9.0,18.352941176470587,1,5
6,-6.036363636363636,1.7875,-16.900000000000002,9.200000000000001,32.44444444444444,1,6
7,-6.00294117647059,2.095121951219512,-13.600000000000001,11.200000000000001,28.083333333333332,1,7
8,-5.957575757575758,2.1609756097560977,-18.6,12.0,35.26315789473684,1,8
9,-6.157692307692307,1.8547619047619042,-16.6,13.0,7.352941176470588,1,9
10,-7.179310344827588,1.0232558139534882,-13.0,10.0,17.46153846153846,1,10
11,-7.296969696969697,1.1744186046511629,-14.5,8.1,12.5,1,11
12,-7.590322580645162,1.402439024390244,-15.3,9.600000000000001,4.125,1,12
13,-5.963333333333334,0.3809523809523812,-15.3,11.100000000000001,43.05882352941177,1,13
14,-7.3914285714285715,1.2951219512195125,-16.7,13.4,7.380952380952381,1,14
15,-6.828571428571429,1.9071428571428566,-18.6,13.5,42.470588235294116,1,15
16,-6.685294117647059,1.5547619047619048,-17.8,12.3,23.3125,1,16
17,-7.366666666666668,1.9102564102564106,-16.0,8.200000000000001,12.058823529411764,1,17
18,-6.459999999999999,1.49047619047619,-15.0,7.300000000000001,3.789473684210526,1,18
19,-6.713513513513515,1.2195121951219512,-17.1,10.0,34.3125,1,19
20,-7.455172413793103,1.9113636363636366,-16.0,9.700000000000001,20.894736842105264,1,20
21,-5.585714285714285,1.4023255813953488,-14.0,8.1,37.72727272727273,1,21
22,-6.3133333333333335,1.4627906976744187,-16.7,11.0,13.047619047619047,1,22
23,-7.110344827586206,1.479069767441861,-15.4,9.0,24.3125,1,23
24,-6.872727272727272,1.1785714285714284,-18.0,12.4,16.0,1,24
25,-7.080645161290323,1.1800000000000002,-17.3,8.0,8.307692307692308,1,25
26,-8.112903225806452,1.3315789473684208,-17.8,11.0,4.4375,1,26
27,-7.375000000000001,1.9999999999999993,-15.9,11.0,14.4375,1,27
28,-6.031249999999999,1.8184210526315796,-12.600000000000001,9.0,2.0,1,28
29,-7.183333333333334,1.9333333333333333,-16.0,8.3,23.733333333333334,1,29
30,-7.36969696969697,1.4372093023255816,-16.3,12.200000000000001,12.411764705882353,1,30
31,-6.270967741935486,1.8395348837209304,-15.0,11.700000000000001,12.1,1,31
32,-6.807407407407408,1.4268292682926829,-16.0,10.5,35.06666666666667,2,1
33,-7.002941176470588,1.6697674418604647,-17.1,10.0,7.266666666666667,2,2
34,-7.148484848484849,2.2333333333333334,-15.0,11.100000000000001,13.090909090909092,2,3
35,-6.245454545454547,3.0195121951219517,-13.100000000000001,11.0,26.470588235294116,2,4
36,-5.176470588235294,3.362790697674419,-11.8,11.5,3.4285714285714284,2,5
37,-6.041379310344828,3.4090909090909096,-15.100000000000001,14.200000000000001,4.785714285714286,2,6
38,-5.531250000000002,2.9707317073170736,-14.0,13.8,6.8,2,7
39,-7.26451612903226,2.334090909090909,-15.8,9.4,5.928571428571429,2,8
40,-5.2973684210526315,3.117948717948718,-13.0,12.8,23.928571428571427,2,9
41,-5.166666666666665,3.536363636363637,-11.200000000000001,10.8,21.41176470588235,2,10
42,-5.478378378378378,3.841860465116278,-12.0,13.5,10.0,2,11
43,-4.114705882352941,3.724390243902438,-13.3,11.200000000000001,15.352941176470589,2,12
44,-4.466666666666668,5.031707317073172,-12.5,16.1,42.45,2,13
45,-3.2399999999999998,5.050000000000002,-11.0,15.0,9.9375,2,14
46,-3.0423076923076926,4.229545454545455,-13.0,13.0,19.863636363636363,2,15
47,-4.824242424242424,4.158536585365853,-17.0,15.4,63.285714285714285,2,16
48,-4.86764705882353,5.224444444444445,-14.0,11.700000000000001,6.529411764705882,2,17
49,-3.483783783783783,5.342500000000001,-12.0,12.100000000000001,14.25,2,18
50,-3.45142857142857,5.940476190476189,-12.4,15.600000000000001,10.533333333333333,2,19
51,-3.076923076923077,6.04418604651163,-9.200000000000001,18.7,13.4,2,20
52,-3.609756097560975,5.290243902439025,-11.200000000000001,17.0,18.61111111111111,2,21
53,-3.4911764705882353,6.175,-14.100000000000001,13.100000000000001,36.80952380952381,2,22
54,-3.1354838709677417,6.136585365853658,-15.0,16.2,15.333333333333334,2,23
55,-2.761111111111111,6.4439024390243915,-13.0,17.900000000000002,6.5625,2,24
56,-2.988461538461538,6.202325581395349,-9.3,15.0,39.705882352941174,2,25
57,-3.0558823529411767,6.863636363636363,-16.6,17.2,14.6,2,26
58,-1.8200000000000003,7.163636363636365,-14.0,15.8,21.235294117647058,2,27
59,-1.3870967741935485,7.197619047619048,-8.1,15.9,20.6875,2,28
60,-3.2,6.8,-8.1,13.200000000000001,47.833333333333336,2,29
61,-1.5888888888888886,7.324390243902439,-8.0,15.3,40.34782608695652,3,1
62,-2.56764705882353,7.111904761904764,-15.3,12.3,62.36842105263158,3,2
63,-1.3352941176470587,7.85121951219512,-6.6000000000000005,17.2,60.8421052631579,3,3
64,-1.0655172413793104,7.935714285714289,-11.0,20.3,28.076923076923077,3,4
65,-1.0,8.013953488372094,-11.0,14.8,47.0625,3,5
66,-1.0896551724137933,7.807142857142858,-7.6000000000000005,14.3,24.0,3,6
67,-0.922222222222222,8.2875,-6.9,17.0,20.352941176470587,3,7
68,-0.13243243243243236,9.030232558139536,-6.1000000000000005,17.0,43.8125,3,8
69,0.18125000000000008,8.95952380952381,-5.300000000000001,23.8,16.0,3,9
70,-0.6259259259259261,8.390697674418606,-8.200000000000001,15.5,19.88235294117647,3,10
71,0.29428571428571454,8.547619047619051,-5.5,16.3,42.1875,3,11
72,-0.18484848484848482,9.753488372093022,-8.0,19.200000000000003,6.833333333333333,3,12
73,0.2757575757575758,10.607499999999998,-7.0,22.0,48.0,3,13
74,1.153125,10.218604651162792,-4.4,15.100000000000001,6.416666666666667,3,14
75,0.7323529411764708,10.872727272727273,-3.1,17.1,35.05882352941177,3,15
76,1.9692307692307696,10.740476190476192,-2.1,18.7,19.63157894736842,3,16
77,1.234375,11.4,-3.6,22.0,19.11764705882353,3,17
78,2.046875,11.529268292682929,-2.8000000000000003,20.1,34.875,3,18
79,1.5733333333333335,12.022727272727275,-8.0,21.0,37.35294117647059,3,19
80,2.0181818181818185,12.384444444444451,-5.0,21.900000000000002,32.285714285714285,3,20
81,1.8848484848484848,12.959999999999999,-6.2,22.200000000000003,35.15384615384615,3,21
82,2.921875,12.344186046511627,-6.2,18.5,23.785714285714285,3,22
83,2.1296296296296298,11.528571428571427,-4.0,19.0,42.473684210526315,3,23
84,2.858333333333333,10.31,-3.0,21.0,30.736842105263158,3,24
85,1.265625,10.813636363636364,-7.6000000000000005,18.900000000000002,25.25,3,25
86,2.0675675675675675,12.123255813953488,-5.0,21.900000000000002,26.9375,3,26
87,2.713793103448276,13.204761904761902,-1.0,20.400000000000002,13.133333333333333,3,27
88,3.638888888888889,13.615000000000004,-1.3,23.8,33.18181818181818,3,28
89,3.090322580645161,13.395121951219513,-1.8,19.1,28.25,3,29
90,3.893333333333333,13.600000000000003,-1.8,21.0,27.285714285714285,3,30
91,4.15,13.492682926829266,-1.4000000000000001,21.400000000000002,27.789473684210527,3,31
92,3.870967741935483,13.921951219512197,-4.6000000000000005,23.0,40.8125,4,1
93,4.503333333333334,13.630952380952381,-0.9,22.6,39.4375,4,2
94,3.7135135135135138,13.86511627906977,-9.4,21.400000000000002,54.65,4,3
95,3.8542857142857136,15.68181818181818,-2.0,22.0,47.588235294117645,4,4
96,4.9645161290322575,16.111363636363635,1.0,27.400000000000002,34.07142857142857,4,5
97,5.739393939393939,15.8,0.1,28.900000000000002,85.0,4,6
98,5.216129032258065,15.993023255813952,-2.0,26.400000000000002,33.130434782608695,4,7
99,6.741935483870967,17.16904761904762,2.5,24.0,2.111111111111111,4,8
100,7.037500000000001,17.505000000000003,-0.30000000000000004,28.200000000000003,29.5,4,9
101,6.6903225806451605,17.16363636363636,1.3,26.700000000000003,75.73684210526316,4,10
102,6.902857142857143,17.48837209302325,-1.7000000000000002,26.3,24.789473684210527,4,11
103,6.0178571428571415,17.06904761904762,1.5,24.0,120.41666666666667,4,12
104,6.106666666666668,17.16976744186047,0.5,25.1,58.75,4,13
105,6.916129032258064,17.328571428571426,1.1,25.0,33.95,4,14
106,6.290909090909092,17.921428571428574,1.6,26.0,19.4375,4,15
107,7.062162162162164,17.160975609756097,-4.2,26.0,20.6,4,16
108,7.066666666666667,17.734883720930235,3.0,26.0,43.214285714285715,4,17
109,7.848484848484849,19.065116279069773,3.0,27.3,27.294117647058822,4,18
110,8.302702702702703,19.5560975609756,3.8000000000000003,28.0,33.44444444444444,4,19
111,8.49090909090909,19.238095238095244,1.0,29.1,58.13333333333333,4,20
112,8.862499999999999,19.784444444444443,4.0,29.400000000000002,67.10526315789474,4,21
113,8.756000000000002,18.509756097560977,3.0,27.700000000000003,43.095238095238095,4,22
114,8.673529411764704,19.133333333333333,2.9000000000000004,27.0,69.3157894736842,4,23
115,8.183333333333334,19.448837209302322,4.0,27.3,38.73684210526316,4,24
116,9.286206896551725,19.72142857142857,4.9,28.200000000000003,27.695652173913043,4,25
117,8.302941176470588,19.427906976744186,-3.6,29.6,38.95238095238095,4,26
118,8.339999999999998,19.49333333333333,4.1000000000000005,25.0,32.85,4,27
119,9.61176470588235,19.8,5.1000000000000005,26.900000000000002,55.333333333333336,4,28
120,9.9,20.76590909090909,3.4000000000000004,26.700000000000003,52.833333333333336,4,29
121,11.279411764705882,20.95111111111111,5.300000000000001,29.8,114.52631578947368,4,30
