DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-0.3210526315789474,6.70357142857143,0.08888888888888889,1,1
2,-0.2076923076923077,7.578260869565218,0.0625,1,2
3,-0.10344827586206895,7.1739130434782625,1.3166666666666667,1,3
4,-0.1142857142857141,6.731578947368421,0.0,1,4
5,-0.7029411764705888,5.473076923076922,0.4166666666666667,1,5
6,-0.5393939393939394,6.425000000000002,2.18,1,6
7,-0.34722222222222227,6.315384615384615,6.238461538461539,1,7
8,-1.4647058823529409,6.955555555555556,2.6625,1,8
9,-0.9387096774193551,6.6,1.5,1,9
10,-1.175,6.256000000000001,0.56,1,10
11,-1.7757575757575756,5.884615384615385,0.0,1,11
12,-1.1032258064516127,6.547999999999998,0.0,1,12
13,-0.3551724137931032,6.536363636363637,0.9750000000000001,1,13
14,-1.3833333333333335,5.696666666666666,3.6666666666666665,1,14
15,-1.2000000000000004,6.042307692307693,2.185714285714286,1,15
16,-1.1441176470588237,5.939285714285715,0.25384615384615383,1,16
17,-1.6909090909090911,5.955555555555557,0.0,1,17
18,-0.8333333333333334,6.081818181818182,0.2,1,18
19,-1.051612903225807,5.404545454545454,0.8714285714285716,1,19
20,-1.8692307692307695,5.714285714285713,0.05000000000000001,1,20
21,-1.4,5.823076923076924,1.3900000000000001,1,21
22,-1.1787878787878792,5.056,3.0222222222222226,1,22
23,-1.0571428571428574,7.104347826086958,3.9375,1,23
24,-2.422580645161291,5.004166666666667,0.13636363636363635,1,24
25,-2.1,5.779310344827586,0.21666666666666667,1,25
26,-1.4468750000000001,6.139130434782608,3.8857142857142857,1,26
27,-1.6647058823529417,6.165384615384616,0.0,1,27
28,-1.7892857142857144,7.026315789473686,1.4857142857142858,1,28
29,-1.3588235294117645,6.171428571428572,3.1125000000000003,1,29
30,-2.159259259259259,5.547619047619048,0.5,1,30
31,-1.4766666666666677,6.0,0.7625000000000001,1,31
32,-1.3517241379310345,6.4879999999999995,2.9285714285714284,2,1
33,-1.8515151515151518,5.885714285714285,0.2857142857142857,2,2
34,-2.6593750000000007,5.275862068965516,0.788888888888889,2,3
35,-1.4636363636363634,6.7,1.4833333333333334,2,4
36,-0.5030303030303029,6.878571428571428,0.2818181818181818,2,5
37,-0.7058823529411766,7.457692307692307,1.4000000000000001,2,6
38,-0.990909090909091,6.985714285714287,0.05555555555555555,2,7
39,-1.030555555555556,6.66666666666667,4.2,2,8
40,-0.9457142857142855,6.980769230769231,1.19,2,9
41,-1.1035714285714284,7.234782608695654,0.0,2,10
42,-0.3857142857142857,8.020000000000001,0.0,2,11
43,0.30333333333333345,8.821739130434782,4.0,2,12
44,-0.5441176470588235,7.459999999999999,2.79,2,13
45,1.2249999999999999,8.21923076923077,1.675,2,14
46,0.6423076923076925,8.02608695652174,2.1222222222222222,2,15
47,0.3266666666666667,7.964285714285717,5.525000000000001,2,16
48,-0.20666666666666658,7.904545454545456,2.4166666666666665,2,17
49,0.1837837837837838,8.496428571428574,1.7090909090909092,2,18
50,0.9666666666666668,9.168965517241379,2.1100000000000003,2,19
51,0.6039999999999999,9.333333333333332,1.0250000000000001,2,20
52,0.6210526315789474,8.941379310344828,3.8818181818181823,2,21
53,0.784375,9.163999999999998,8.3875,2,22
54,2.238709677419355,9.72,0.4375,2,23
55,2.0052631578947366,9.73214285714286,0.79,2,24
56,0.8399999999999999,8.76086956521739,1.0750000000000002,2,25
57,0.6281249999999998,8.443999999999999,0.0,2,26
58,1.9611111111111112,9.453846153846154,7.084615384615385,2,27
59,2.2305555555555556,9.151724137931035,2.24,2,28
60,1.5923076923076922,8.245000000000001,3.7599999999999993,3,1
61,0.8724137931034485,9.776000000000002,1.3222222222222222,3,2
62,2.0515151515151513,10.476923076923075,1.5166666666666668,3,3
63,2.6810810810810817,10.424137931034485,1.3500000000000003,3,4
64,2.448387096774194,10.008,3.6666666666666665,3,5
65,2.5548387096774197,10.783333333333331,4.672727272727273,3,6
66,2.7960000000000003,10.95,4.366666666666667,3,7
67,2.8809523809523805,11.374285714285715,1.8888888888888888,3,8
68,3.0322580645161294,11.324999999999998,1.1500000000000001,3,9
69,2.7575757575757573,10.818518518518518,5.8375,3,10
70,3.4499999999999997,11.175,3.755555555555556,3,11
71,4.058823529411765,11.292592592592595,0.042857142857142864,3,12
72,3.3486486486486484,11.716129032258069,0.7100000000000001,3,13
73,4.055555555555557,11.603703703703703,5.2,3,14
74,3.4733333333333323,11.558333333333332,3.15,3,15
75,4.633333333333333,12.772413793103448,8.53,3,15
76,4.588571428571428,13.708,0.881818181818182,3,17
77,5.029411764705883,13.099999999999998,0.1875,3,18
78,5.120588235294118,13.529629629629627,6.428571428571429,3,19
79,5.020689655172413,12.658333333333333,2.2000000000000006,3,20
80,5.7562500000000005,14.0625,1.5750000000000002,3,21
81,5.1702702702702705,13.453846153846156,6.9,3,22
82,5.542857142857142,12.48,4.841666666666667,3,23
83,4.936,12.923529411764706,3.9857142857142853,3,24
