MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-4.758490566037736,9.752083333333333,-18.7,19.0,20.117021276595743
2,-3.5018867924528307,11.840000000000002,-13.0,18.3,36.31555555555555
3,0.5169811320754716,15.678260869565218,-9.0,25.6,61.32826086956523
4,6.343396226415094,20.635416666666675,-0.7000000000000001,27.400000000000002,100.27826086956524
5,11.77358490566038,24.74893617021276,1.5,34.0,116.41063829787232
6,16.57735849056604,26.756000000000004,11.200000000000001,31.900000000000002,157.13333333333338
7,20.326415094339623,30.20851063829788,15.0,37.1,235.1229166666666
8,21.66415094339623,31.044680851063823,11.0,35.4,228.0877551020409
9,17.16346153846154,28.38297872340426,11.0,33.9,121.08367346938776
10,10.313461538461535,24.13829787234043,1.9000000000000001,28.1,50.40217391304347
11,3.365384615384615,18.997916666666676,-3.3000000000000003,24.0,36.66444444444444
12,-2.978846153846154,12.92272727272727,-11.0,18.5,19.61333333333333
