DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-9.355555555555556,1.4230769230769231,1.0166666666666668,1,1
2,-9.185714285714287,2.0875,1.02,1,2
3,-11.15,0.604761904761905,0.125,1,3
4,-10.890000000000002,0.4227272727272727,3.5,1,4
5,-11.165625,0.11538461538461543,2.725,1,5
6,-10.958823529411763,1.0615384615384615,0.16666666666666666,1,6
7,-10.074285714285713,0.3678571428571429,3.0875000000000004,1,7
8,-9.933333333333334,2.1875000000000004,2.3400000000000003,1,8
9,-11.5,0.863636363636364,0.36666666666666664,1,9
10,-11.033333333333333,0.5818181818181819,0.05000000000000001,1,10
11,-11.245945945945945,0.04827586206896557,0.8444444444444446,1,11
12,-12.135294117647062,0.8407407407407406,0.2416666666666667,1,12
13,-11.565384615384618,-0.04117647058823521,4.5200000000000005,1,13
14,-11.889189189189189,0.20344827586206893,0.3071428571428571,1,14
15,-11.365517241379314,0.9608695652173912,0.0,1,15
16,-11.934375,-0.03478260869565219,1.86,1,16
17,-10.114285714285714,1.82,0.3125,1,17
18,-11.103333333333332,0.6391304347826087,0.14285714285714285,1,18
19,-10.065714285714284,2.160869565217391,1.5545454545454547,1,19
20,-11.09,1.6703703703703705,2.788888888888889,1,20
21,-11.344444444444449,1.3925925925925926,2.488888888888889,1,21
22,-10.382142857142858,0.15714285714285717,1.6333333333333337,1,22
23,-11.462962962962965,1.8400000000000005,0.0,1,23
24,-11.264705882352942,2.3333333333333335,0.042857142857142864,1,24
25,-11.058620689655173,1.8428571428571434,0.05000000000000001,1,25
26,-12.087500000000004,1.14,0.1,1,26
27,-12.368965517241376,1.4958333333333333,0.1,1,27
28,-10.759375,3.006896551724138,0.03333333333333334,1,28
29,-10.32666666666667,2.2045454545454546,0.8545454545454546,1,29
30,-11.511764705882355,1.9434782608695655,0.16363636363636364,1,30
31,-11.025,1.7160000000000002,0.7833333333333333,1,31
32,-10.048148148148146,2.9952380952380957,6.580000000000001,2,1
33,-12.037142857142857,2.559259259259259,0.0,2,2
34,-11.771428571428572,2.3000000000000003,0.2875,2,3
35,-10.408108108108108,2.6599999999999997,0.9000000000000001,2,4
36,-10.425000000000002,3.776,0.08888888888888889,2,5
37,-9.536363636363637,4.54074074074074,0.0,2,6
38,-10.309375,2.5840000000000005,0.16666666666666666,2,7
39,-11.1625,1.8192307692307694,0.125,2,8
40,-10.16969696969697,2.3439999999999994,1.65,2,9
41,-9.229032258064517,3.359259259259259,3.6666666666666665,2,10
42,-9.576923076923077,4.28,2.24,2,11
43,-7.294117647058824,5.096428571428571,2.2500000000000004,2,12
44,-7.541666666666667,5.116666666666666,4.509090909090909,2,13
45,-6.5472222222222225,5.649999999999998,1.1875,2,14
46,-5.939999999999999,5.640000000000001,0.4,2,15
47,-7.7935483870967746,5.032,3.1333333333333337,2,16
48,-8.509999999999998,4.7333333333333325,0.045454545454545456,2,17
49,-7.405714285714286,6.137037037037037,1.75,2,18
50,-6.478125,7.208000000000002,3.7500000000000004,2,19
51,-7.116666666666666,7.700000000000002,1.35,2,20
52,-6.554054054054056,6.648148148148148,1.481818181818182,2,21
53,-6.550000000000001,7.079310344827586,5.2444444444444445,2,22
54,-5.603846153846154,8.595454545454546,0.7625000000000001,2,23
55,-5.705405405405406,8.168965517241379,0.13333333333333333,2,24
56,-5.875,6.179166666666666,3.3285714285714287,2,25
57,-6.041176470588235,7.582142857142857,1.2200000000000002,2,26
58,-4.7371428571428575,8.510344827586207,3.725,2,27
59,-4.891666666666667,7.606896551724137,0.5461538461538462,2,28
60,-5.4192307692307695,7.839999999999999,0.0,3,1
61,-5.118750000000001,7.708333333333333,1.65,3,2
62,-4.865625,8.344,0.5666666666666667,3,3
63,-3.9411764705882355,8.739285714285716,0.575,3,4
64,-4.286666666666666,8.48,0.06000000000000001,3,5
65,-3.5321428571428575,8.737499999999999,1.5727272727272728,3,6
66,-3.944827586206897,9.173913043478263,2.011111111111111,3,7
67,-3.814285714285715,10.562962962962963,0.8250000000000001,3,8
68,-3.0303030303030307,10.396296296296294,0.3333333333333333,3,9
69,-3.045714285714286,9.729629629629631,0.788888888888889,3,10
70,-2.827027027027028,10.26296296296296,2.463636363636364,3,11
71,-3.0000000000000004,10.663999999999998,0.0,3,12
72,-2.7580645161290325,12.180769230769233,0.0,3,13
73,-2.594594594594595,10.62857142857143,0.2222222222222222,3,14
74,-2.593333333333333,11.276000000000002,0.037500000000000006,3,15
75,-2.293103448275862,12.579166666666667,0.0625,3,16
76,-2.371428571428571,12.460714285714285,1.3555555555555556,3,17
77,-0.8323529411764707,12.942857142857141,4.911111111111111,3,18
78,-1.0928571428571425,13.845454545454546,0.9,3,19
79,-1.1703703703703707,13.975,0.06000000000000001,3,20
80,-1.5066666666666666,14.413043478260875,0.8500000000000001,3,21
81,-0.703125,13.650000000000002,0.3888888888888889,3,22
82,-0.9481481481481486,13.62857142857143,0.10000000000000002,3,23
83,-1.3785714285714288,11.834999999999999,2.2500000000000004,3,24
84,-1.1482758620689655,12.70952380952381,0.03333333333333334,3,25
85,-1.4857142857142858,12.616666666666667,0.8250000000000001,3,26
86,-1.1121212121212123,13.953571428571431,2.1166666666666667,3,27
87,0.1448275862068966,15.76521739130435,2.158333333333333,3,28
88,-0.6484848484848486,14.382142857142854,1.5777777777777782,3,28
89,0.759375,16.064,0.7666666666666667,3,30
90,0.5709677419354839,16.188461538461542,2.2,3,30
91,0.32666666666666655,15.900000000000002,4.3999999999999995,4,1
92,0.7099999999999999,16.191666666666666,0.4666666666666666,4,2
