DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,13.946666666666664,25.996666666666666,0.0,1,1
2,14.271875,27.109677419354835,0.3178571428571429,1,2
3,14.271428571428572,27.157142857142855,0.019354838709677424,1,3
4,14.344117647058823,27.3470588235294,0.0642857142857143,1,4
5,14.417647058823528,27.2735294117647,0.7848484848484849,1,5
6,14.487878787878786,27.075757575757574,0.6866666666666668,1,6
7,14.524242424242424,26.77878787878788,0.0,1,7
8,14.489743589743593,26.325641025641026,0.0,1,8
9,13.887500000000003,26.08749999999999,0.0,1,9
10,13.72258064516129,26.143333333333338,0.0,1,10
11,13.697058823529408,26.341176470588238,0.0,1,11
12,14.25151515151515,26.827272727272717,0.29000000000000004,1,12
13,14.368750000000002,26.506666666666664,4.241379310344827,1,13
14,14.23513513513514,26.45277777777777,0.014705882352941176,1,14
15,14.647368421052635,26.676315789473684,0.041666666666666664,1,15
16,14.391428571428573,26.85588235294117,0.015625,1,16
17,13.857894736842104,26.384210526315787,0.3805555555555556,1,17
18,14.53142857142857,26.60000000000001,0.33333333333333337,1,18
19,14.305263157894741,26.429729729729726,0.05714285714285714,1,19
20,14.200000000000003,26.097297297297292,0.5235294117647059,1,20
21,14.217500000000005,25.982500000000005,0.7416666666666667,1,21
22,14.258823529411766,26.167647058823526,0.0,1,22
23,14.516129032258066,26.032258064516125,0.034482758620689655,1,23
24,13.963636363636367,25.959375000000005,0.0,1,24
25,13.853124999999999,26.399999999999995,0.33548387096774196,1,25
26,14.161764705882353,26.336363636363632,0.0,1,26
27,13.968571428571428,26.477142857142855,0.0,1,27
28,14.394871794871797,26.61052631578947,0.027777777777777776,1,28
29,14.186111111111117,26.555555555555546,0.03125,1,29
30,13.963636363636361,26.21212121212121,0.043333333333333335,1,30
31,13.697058823529412,26.20294117647059,0.05,1,31
32,13.958333333333334,26.213888888888892,0.525,2,1
33,14.46451612903226,25.93225806451613,0.018518518518518517,2,2
34,14.01,26.117241379310347,0.45769230769230773,2,3
35,13.446874999999995,25.95625,3.1724137931034484,2,4
36,13.917142857142853,26.394117647058824,0.0967741935483871,2,5
37,13.783333333333335,26.55277777777778,0.4852941176470588,2,6
38,13.894285714285717,26.531428571428574,0.0,2,7
39,14.381578947368421,26.66216216216216,0.0,2,8
40,14.399999999999997,26.728571428571435,0.0,2,9
41,14.805882352941174,26.55,0.0,2,10
42,15.10285714285714,26.52857142857143,0.0,2,11
43,14.797058823529413,26.4,0.0,2,12
44,14.1925,26.482500000000005,0.3421052631578948,2,13
45,14.552631578947372,26.3,0.0,2,14
46,14.656756756756762,26.594594594594593,0.0,2,15
47,14.400000000000004,26.647058823529413,0.0,2,16
48,14.506666666666668,26.46,0.0,2,17
49,14.229729729729733,26.386486486486483,0.1416666666666667,2,18
50,14.781250000000004,26.74375,0.0,2,19
51,14.681081081081082,26.716666666666665,0.538235294117647,2,20
52,14.564864864864864,26.91714285714286,0.0,2,21
