MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,11.723076923076922,27.551282051282058,3.4000000000000004,32.2,27.153846153846143
2,12.951282051282053,29.42307692307693,6.0,33.6,15.697435897435895
3,15.437500000000005,31.830000000000002,8.6,39.6,12.377500000000001
4,17.955000000000002,34.669999999999995,12.3,41.300000000000004,20.962499999999995
5,20.65,35.56315789473684,15.0,40.0,35.242105263157896
6,22.407500000000002,35.6075,17.6,43.0,129.53750000000002
7,22.625000000000007,34.904999999999994,13.9,39.0,111.33250000000001
8,22.66190476190477,35.26829268292683,16.2,38.2,94.509756097561
9,21.21794871794872,34.671794871794866,16.8,39.0,200.25641025641025
10,18.175000000000004,32.907500000000006,12.600000000000001,36.800000000000004,173.53000000000006
11,15.245000000000005,30.44000000000001,6.800000000000001,34.6,77.96500000000003
12,13.068421052631582,28.526315789473685,-0.9,32.0,24.792105263157893
