PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1974-11-01,1974,11,,,,,,,,,,,0.00,0.00,0,0,0,,,1
1974-12-01,1974,12,,,,,,,,,,,0.00,0.00,0,89,89,,,14
1975-01-01,1975,1,,,,,,,,,,,0.00,0.00,0,0,0,,,1
1976-09-01,1976,9,23.00,23.00,23.00,23.00,23.00,27.00,27.00,27.00,27.00,27.00,0.00,0.00,0,0,0,1,1,4
1976-10-01,1976,10,,,,,,,,,,,0.00,30.00,0,130,237,,,18
1976-11-01,1976,11,,,,,,,,,,,0.00,0.00,0,41,46,,,18
1976-12-01,1976,12,,,,,,,,,,,0.00,51.00,0,191,242,,,14
1977-01-01,1977,1,,,,,,,,,,,0.00,0.00,0,3,3,,,20
1977-02-01,1977,2,,,,,,,,,,,0.00,0.00,0,10,10,,,13
1977-03-01,1977,3,17.00,19.00,17.00,19.00,36.00,,,,,,0.00,0.00,0,0,0,2,,23
1977-04-01,1977,4,17.00,21.00,17.00,21.00,38.00,,,,,,0.00,0.00,0,0,0,2,,22
1977-05-01,1977,5,,,,,,,,,,,0.00,0.00,0,10,10,,,21
1977-06-01,1977,6,,,,,,,,,,,0.00,0.00,0,170,170,,,25
1977-07-01,1977,7,24.00,24.00,24.00,24.00,24.00,,,,,,0.00,0.00,0,41,41,1,,17
1977-08-01,1977,8,,,,,,,,,,,0.00,180.00,0,249,591,,,14
1977-09-01,1977,9,23.00,24.00,23.00,24.00,119.00,30.00,33.00,30.00,33.00,185.00,0.00,0.00,0,71,71,5,6,9
1977-10-01,1977,10,21.00,24.00,21.00,25.00,482.00,28.00,31.00,27.00,32.00,617.00,0.00,0.00,0,41,41,21,21,21
1977-11-01,1977,11,22.00,23.00,21.00,23.00,155.00,29.00,30.00,28.00,31.00,207.00,0.00,0.00,0,0,0,7,7,7
1977-12-01,1977,12,23.00,23.00,23.00,23.00,23.00,29.00,29.00,29.00,29.00,29.00,0.00,0.00,0,0,0,1,1,1
1978-01-01,1978,1,20.00,22.00,19.00,23.00,170.00,27.00,29.00,27.00,29.00,224.00,0.00,0.00,0,0,0,8,8,8
1978-02-01,1978,2,19.00,21.00,17.00,22.00,311.00,25.00,30.00,25.00,30.00,449.00,0.00,0.00,0,0,0,16,16,16
1978-03-01,1978,3,19.00,21.00,18.00,22.00,353.00,26.00,31.00,25.00,32.00,520.00,0.00,0.00,0,0,0,18,18,18
1978-04-01,1978,4,17.00,20.00,12.00,20.00,293.00,27.00,30.00,26.00,31.00,517.00,0.00,0.00,0,0,0,16,18,18
1978-05-01,1978,5,19.00,20.00,16.00,21.00,410.00,27.00,31.00,26.00,32.00,634.00,0.00,0.00,0,0,0,21,22,22
