DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,0.48297872340425524,5.651063829787236,-16.400000000000002,12.9,,1,1
2,0.6893617021276596,6.174468085106385,-14.8,12.4,,1,2
3,0.5680851063829786,5.865957446808513,-13.8,11.600000000000001,,1,3
4,0.7851063829787234,5.721276595744682,-12.0,12.600000000000001,,1,4
5,0.7042553191489362,5.7765957446808525,-12.4,13.8,,1,5
6,1.3872340425531915,5.870212765957446,-12.3,13.700000000000001,,1,6
7,1.0617021276595744,5.836170212765956,-15.0,12.4,,1,7
8,0.9829787234042552,5.846808510638298,-14.9,12.200000000000001,,1,8
9,1.3872340425531913,6.072340425531914,-9.200000000000001,13.5,,1,9
10,1.1340425531914893,5.92127659574468,-13.100000000000001,13.100000000000001,,1,10
11,1.387234042553192,5.8446808510638295,-11.9,11.600000000000001,,1,11
12,1.042553191489362,6.1744680851063825,-13.5,13.0,,1,12
13,1.2936170212765958,6.099999999999999,-13.3,13.8,,1,13
14,1.0659574468085107,6.293617021276596,-14.4,13.0,,1,14
15,1.2787234042553193,5.959574468085106,-11.0,13.5,,1,15
16,1.2297872340425533,6.1063829787234045,-13.5,13.700000000000001,,1,16
17,0.5574468085106383,5.570212765957447,-10.700000000000001,11.3,,1,17
18,0.3276595744680852,5.2723404255319135,-11.0,13.100000000000001,,1,18
19,1.1234042553191483,5.64468085106383,-8.3,12.200000000000001,,1,19
20,1.3297872340425532,5.8148936170212755,-8.5,12.5,,1,20
21,1.4893617021276595,5.725531914893616,-5.1000000000000005,12.100000000000001,,1,21
22,0.9872340425531916,5.793617021276596,-6.5,11.4,,1,22
23,0.9787234042553191,5.878723404255318,-7.6000000000000005,11.8,,1,23
24,0.9063829787234046,5.980851063829786,-10.9,12.100000000000001,,1,24
25,0.7425531914893615,6.097872340425533,-13.3,14.3,,1,25
26,0.802127659574468,5.895744680851062,-9.9,12.0,,1,26
27,0.8829787234042556,6.080851063829786,-10.600000000000001,13.600000000000001,,1,27
28,1.297872340425532,5.908510638297873,-12.5,13.3,,1,28
29,0.9255319148936172,5.68936170212766,-9.700000000000001,12.9,,1,29
30,0.7957446808510638,5.4787234042553195,-9.700000000000001,13.200000000000001,,1,30
31,0.1914893617021277,5.555319148936169,-10.4,11.4,,1,31
32,0.0468085106382978,5.18936170212766,-9.700000000000001,13.200000000000001,,2,1
33,0.7872340425531916,5.721276595744681,-9.4,14.9,,2,2
34,1.2191489361702126,6.017021276595745,-11.3,15.100000000000001,,2,3
35,0.9723404255319149,6.451063829787234,-17.5,17.0,,2,4
36,1.6276595744680857,6.859574468085106,-8.0,13.9,,2,5
37,1.9234042553191488,6.653191489361701,-11.200000000000001,12.700000000000001,,2,6
38,1.3574468085106386,6.210638297872342,-12.5,12.600000000000001,,2,7
39,0.9595744680851064,6.187234042553191,-10.0,12.700000000000001,,2,8
40,0.34893617021276585,6.144680851063828,-11.3,13.600000000000001,,2,9
41,0.5127659574468084,6.304255319148936,-10.8,12.600000000000001,,2,10
42,1.0148936170212766,6.293617021276593,-10.700000000000001,13.200000000000001,,2,11
43,0.7829787234042555,6.272340425531915,-11.3,13.4,,2,12
44,0.13404255319148944,5.8255319148936175,-10.0,12.0,,2,13
45,-0.46808510638297873,5.312765957446809,-11.100000000000001,15.4,,2,14
46,-0.2957446808510638,5.487234042553192,-9.8,15.9,,2,15
47,-0.502127659574468,5.502127659574468,-8.9,13.200000000000001,,2,16
48,-0.7319148936170212,5.646808510638299,-7.800000000000001,11.200000000000001,,2,17
49,0.0361702127659573,5.846808510638298,-8.3,12.600000000000001,,2,18
50,-0.23829787234042543,5.855319148936173,-12.3,13.3,,2,19
51,0.2808510638297875,5.955319148936171,-10.4,15.600000000000001,,2,20
52,0.5680851063829785,6.28936170212766,-11.700000000000001,12.4,,2,21
53,0.7063829787234042,6.712765957446808,-12.700000000000001,13.5,,2,22
54,0.676595744680851,6.938297872340426,-10.9,14.3,,2,23
55,0.6382978723404255,7.123404255319148,-14.0,14.600000000000001,,2,24
56,1.3936170212765957,6.846808510638299,-7.1000000000000005,13.100000000000001,,2,25
57,1.2829787234042551,7.0553191489361735,-10.100000000000001,13.200000000000001,,2,26
58,1.0638297872340423,6.729787234042553,-11.200000000000001,15.8,,2,27
59,1.1851063829787236,7.304255319148938,-9.3,13.8,,2,28
60,1.075,7.883333333333334,-4.6000000000000005,15.4,,2,29
61,1.2042553191489362,7.389361702127661,-7.0,15.200000000000001,,3,1
62,1.5617021276595748,7.497872340425531,-6.800000000000001,12.9,,3,2
63,1.3872340425531915,7.268085106382979,-11.0,13.0,,3,3
64,0.3021276595744681,7.331914893617023,-15.0,13.600000000000001,,3,4
65,1.2021276595744679,7.797872340425533,-11.100000000000001,15.700000000000001,,3,5
66,1.6978723404255325,7.946808510638298,-9.200000000000001,16.8,,3,6
67,2.1170212765957452,8.448936170212766,-10.200000000000001,16.5,,3,7
68,2.1042553191489364,8.648936170212766,-4.6000000000000005,15.600000000000001,,3,8
69,2.2063829787234046,8.504255319148939,-9.3,18.6,,3,9
70,2.191489361702127,8.742553191489364,-7.2,14.9,,3,10
71,2.3893617021276596,8.617021276595745,-5.1000000000000005,14.100000000000001,,3,11
72,1.7234042553191493,8.870212765957445,-5.7,16.3,,3,12
73,1.7106382978723405,8.84042553191489,-6.300000000000001,17.7,,3,13
74,2.0319148936170217,8.699999999999998,-5.5,15.9,,3,14
75,2.2702127659574467,9.355319148936168,-4.800000000000001,18.1,,3,15
76,3.2617021276595737,9.80851063829787,-2.4000000000000004,18.900000000000002,,3,16
77,3.2297872340425533,9.504255319148935,-2.1,20.8,,3,17
78,2.959574468085106,9.480851063829785,-3.5,20.700000000000003,,3,18
79,2.710638297872341,8.68723404255319,-3.7,15.100000000000001,,3,19
80,2.74468085106383,9.344680851063828,-3.7,20.5,,3,20
81,2.22127659574468,9.306382978723406,-3.9000000000000004,15.9,,3,21
82,1.9851063829787237,9.287234042553193,-4.0,18.2,,3,22
83,1.972340425531915,9.580851063829787,-5.1000000000000005,18.5,,3,23
84,2.812765957446808,10.023404255319146,-3.5,18.7,,3,24
85,3.28936170212766,10.348936170212768,-2.1,18.5,,3,25
86,2.7893617021276595,10.025531914893618,-5.1000000000000005,17.2,,3,26
87,2.6510638297872338,10.431914893617021,-3.6,20.1,,3,27
88,2.9957446808510646,10.291489361702128,-2.4000000000000004,20.700000000000003,,3,28
89,3.3553191489361707,10.442553191489365,-5.5,19.0,,3,29
90,3.6978723404255316,10.92340425531915,-4.0,19.3,,3,30
91,3.9234042553191477,11.363829787234042,-4.6000000000000005,20.3,,3,31
92,4.357446808510638,11.808510638297875,-4.4,19.1,,4,1
93,4.1297872340425545,12.236170212765957,-3.0,23.6,,4,2
94,4.312765957446808,11.110638297872342,-3.4000000000000004,21.400000000000002,,4,3
95,3.5085106382978717,10.178723404255317,-3.8000000000000003,18.1,,4,4
96,3.6510638297872338,10.25744680851064,-2.2,18.1,,4,5
97,3.582978723404256,10.765957446808509,-3.0,18.400000000000002,,4,6
98,3.2489361702127653,10.63191489361702,-3.1,20.3,,4,7
99,2.9127659574468088,10.417021276595742,-4.2,17.6,,4,8
100,2.7234042553191498,10.87659574468085,-3.8000000000000003,17.6,,4,9
101,3.0893617021276594,11.608510638297876,-3.8000000000000003,23.6,,4,10
102,3.674468085106383,11.906382978723405,-4.0,22.200000000000003,,4,11
103,3.4829787234042557,11.423404255319149,-4.4,21.3,,4,12
104,3.5617021276595753,11.480851063829787,-3.0,22.1,,4,13
105,3.8468085106382985,12.510638297872342,-2.7,24.700000000000003,,4,14
106,4.578723404255319,13.314893617021278,-0.7000000000000001,27.700000000000003,,4,15
107,4.623404255319149,12.238297872340429,-0.5,23.700000000000003,,4,16
108,4.272340425531915,11.997872340425529,-1.0,21.700000000000003,,4,17
109,4.172340425531915,12.4468085106383,-0.8,22.3,,4,18
110,4.146808510638298,12.044680851063832,-1.5,23.1,,4,19
111,3.9574468085106393,12.972340425531913,-1.4000000000000001,24.0,,4,20
112,4.517021276595745,13.531914893617024,-2.8000000000000003,24.6,,4,21
113,4.870212765957447,14.046808510638302,-1.5,25.6,,4,22
114,4.9063829787234035,13.793617021276598,-1.5,25.200000000000003,,4,23
115,5.3680851063829795,14.623404255319146,-2.2,24.5,,4,24
116,6.140425531914896,14.791489361702133,-0.8,27.200000000000003,,4,25
117,5.814893617021277,13.834042553191491,-2.2,20.5,,4,26
118,5.614893617021277,13.282978723404257,-1.9000000000000001,25.8,,4,27
119,5.106382978723406,13.597872340425532,-1.0,25.8,,4,28
120,5.653191489361702,13.776595744680849,-2.6,25.700000000000003,,4,29
121,5.6978723404255325,14.278723404255315,-1.1,25.900000000000002,,4,30
122,6.097872340425531,14.761702127659577,-1.5,28.5,,5,1
123,5.891489361702125,14.248936170212769,0.6000000000000001,25.0,,5,2
124,6.113043478260869,14.406521739130438,1.4000000000000001,24.5,,5,3
125,6.415217391304347,14.552173913043482,1.1,25.3,,5,4
126,6.278260869565217,15.515217391304349,-1.1,26.1,,5,5
127,6.452173913043478,15.97608695652174,-1.2000000000000002,27.0,,5,6
128,7.280434782608697,16.27173913043478,-0.7000000000000001,28.200000000000003,,5,7
129,7.689130434782611,16.115217391304345,0.9,25.700000000000003,,5,8
130,7.626086956521742,16.49782608695652,-0.4,28.5,,5,9
131,7.819565217391306,16.034782608695654,1.3,26.8,,5,10
132,7.591304347826087,16.40434782608696,0.9,29.700000000000003,,5,11
133,7.893478260869562,16.36304347826087,1.9000000000000001,29.5,,5,12
134,8.04782608695652,16.408695652173915,1.6,28.900000000000002,,5,13
135,7.7239130434782615,16.206521739130434,1.0,28.6,,5,14
136,7.210869565217391,16.580434782608698,1.4000000000000001,28.0,,5,15
137,7.4543478260869565,16.52608695652174,1.9000000000000001,28.700000000000003,,5,16
138,7.882608695652177,16.65217391304348,3.3000000000000003,25.200000000000003,,5,17
139,7.96304347826087,16.567391304347826,1.8,23.1,,5,18
140,7.9695652173913025,16.960869565217397,3.1,25.0,,5,19
141,8.313043478260871,17.399999999999995,3.2,27.0,,5,20
142,8.70217391304348,16.58695652173913,1.7000000000000002,25.700000000000003,,5,21
143,8.332608695652175,16.397826086956524,3.0,27.1,,5,22
144,8.421739130434785,16.98260869565217,3.9000000000000004,27.5,,5,23
145,8.66304347826087,16.958695652173915,1.4000000000000001,28.0,,5,24
146,8.815217391304348,17.39347826086957,2.9000000000000004,27.5,,5,25
147,9.1695652173913,17.57608695652174,3.2,27.700000000000003,,5,26
148,9.030434782608694,17.315217391304344,2.6,30.400000000000002,,5,27
149,9.013043478260869,16.939130434782605,2.3000000000000003,26.6,,5,28
150,8.445652173913047,16.843478260869567,2.6,27.3,,5,29
151,8.85869565217391,17.841304347826085,1.6,27.8,,5,30
