DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,1.042857142857143,6.197142857142858,3.384375,1,1
2,0.8971428571428574,6.514285714285713,2.890625,1,2
3,0.5800000000000001,6.011428571428572,2.73125,1,3
4,1.4222222222222225,6.066666666666667,2.2875000000000005,1,4
5,1.4444444444444446,6.183333333333334,3.2375,1,5
6,1.231428571428572,6.079999999999999,2.0531249999999996,1,6
7,1.0971428571428572,6.254285714285714,1.9374999999999996,1,7
8,0.9611111111111114,6.308333333333334,2.421875,1,8
9,0.6583333333333334,6.616666666666666,1.3874999999999997,1,9
10,0.39142857142857146,6.474285714285714,1.4156250000000001,1,10
11,0.7771428571428572,6.282857142857142,1.878125,1,11
12,1.2971428571428574,6.582857142857143,4.0843750000000005,1,12
13,1.717142857142857,7.222857142857143,2.453125,1,13
14,1.1942857142857146,6.491428571428571,2.371875,1,14
15,1.0685714285714287,6.048571428571428,1.8562500000000002,1,15
16,0.3305555555555557,6.080555555555557,2.2781249999999997,1,16
17,0.14857142857142866,5.8742857142857146,1.4562500000000003,1,17
18,0.0628571428571428,5.582857142857143,2.8718749999999997,1,18
19,0.7428571428571428,6.022857142857145,3.5281250000000006,1,19
20,0.7971428571428572,5.991428571428573,1.5875000000000004,1,20
21,0.26857142857142874,5.477142857142856,1.5656249999999998,1,21
22,-0.025714285714285526,5.69142857142857,2.328125,1,22
23,-0.3114285714285711,5.474285714285715,2.23125,1,23
24,0.13611111111111107,5.641666666666668,1.35,1,24
25,-1.1371428571428572,5.197142857142857,1.428125,1,25
26,-0.09714285714285698,5.485714285714287,2.6499999999999995,1,26
27,0.6527777777777778,6.097222222222222,3.1906250000000007,1,27
28,0.7472222222222222,6.4750000000000005,2.3,1,28
29,0.6885714285714286,6.237142857142858,3.1687499999999997,1,29
30,0.3028571428571429,5.757142857142856,2.00625,1,30
31,-0.2914285714285715,5.579999999999999,1.7343750000000004,1,31
32,0.14285714285714282,5.325714285714286,1.6750000000000003,2,1
33,0.2799999999999998,6.071428571428573,3.1312500000000005,2,2
34,0.49428571428571433,6.5457142857142845,1.325,2,3
35,1.0444444444444443,7.166666666666665,2.0781250000000004,2,4
36,1.6138888888888896,7.3694444444444445,1.5906250000000002,2,5
37,1.1361111111111115,7.155555555555556,3.2312499999999997,2,6
38,0.1428571428571429,5.8828571428571435,2.3875,2,7
39,-0.6457142857142859,6.26,3.3687500000000004,2,8
40,-0.3888888888888887,6.252777777777778,1.365625,2,9
41,0.057142857142857204,6.3114285714285705,4.165624999999999,2,10
42,0.40857142857142853,6.28857142857143,2.4000000000000004,2,11
43,-0.042857142857142844,6.400000000000001,2.8781250000000003,2,12
44,-0.5657142857142856,6.122857142857143,1.18125,2,13
45,-0.4972222222222223,6.469444444444445,1.4656250000000004,2,14
46,0.6857142857142857,7.837142857142859,1.8156250000000003,2,15
47,0.9199999999999999,7.968571428571428,1.5875,2,16
48,0.10000000000000005,7.6257142857142854,0.7468750000000001,2,17
49,0.2314285714285715,7.597142857142858,2.1218749999999997,2,18
50,0.7749999999999999,7.222222222222224,1.7875000000000003,2,19
51,1.3805555555555555,8.033333333333331,3.028125,2,20
52,1.2361111111111114,7.869444444444444,1.6656250000000001,2,21
53,1.1638888888888888,8.163888888888891,2.6437500000000003,2,22
54,0.9833333333333335,8.50277777777778,2.284375,2,23
55,1.4027777777777777,8.491666666666667,2.1375000000000006,2,24
56,1.4833333333333338,8.375,2.246875,2,25
57,1.713888888888889,8.466666666666667,2.2031250000000004,2,26
58,0.4527777777777778,7.991666666666666,2.2218750000000003,2,27
59,0.6742857142857142,8.237142857142857,2.0937500000000004,2,28
60,1.1085714285714283,7.877142857142857,3.0093750000000004,3,1
61,0.8457142857142858,8.251428571428571,1.684375,3,2
62,0.37142857142857144,8.217142857142855,2.4312500000000004,3,3
63,0.14000000000000012,8.914285714285715,1.5437500000000002,3,4
64,1.0972222222222225,8.897222222222222,2.1687499999999993,3,5
65,1.3555555555555554,9.09166666666667,2.7,3,6
66,1.9611111111111112,9.75,2.0406250000000004,3,7
67,1.9555555555555553,10.363888888888889,2.5343750000000003,3,8
68,2.3666666666666667,10.11111111111111,2.390625,3,9
69,1.8250000000000002,10.813888888888888,1.8125000000000002,3,10
70,2.136111111111111,10.2,1.7656250000000002,3,11
71,1.9888888888888892,10.694444444444448,1.7937500000000002,3,12
72,1.6542857142857141,10.82,1.503125,3,13
73,1.7400000000000002,10.228571428571426,1.0937500000000002,3,14
74,2.1333333333333337,10.844444444444447,1.8593749999999998,3,15
75,3.2638888888888884,11.513888888888891,0.83125,3,16
76,3.1138888888888876,11.308333333333335,1.2031250000000002,3,17
77,2.2685714285714287,11.248571428571429,3.1806451612903235,3,18
78,2.313888888888889,10.869444444444447,1.084375,3,19
79,2.127777777777778,10.70833333333333,2.028125,3,20
80,1.7083333333333333,11.186111111111112,1.76875,3,21
81,1.6138888888888894,11.008333333333333,0.8250000000000003,3,22
82,2.144444444444444,11.488888888888889,1.34375,3,23
83,1.666666666666667,11.941666666666668,0.8906249999999999,3,24
84,2.4249999999999994,11.377777777777778,2.103125,3,25
85,2.0027777777777773,11.300000000000002,1.6812500000000001,3,26
86,1.5916666666666668,11.524999999999999,1.059375,3,27
87,1.5805555555555557,11.922222222222224,1.5250000000000001,3,28
88,2.3694444444444445,12.480555555555558,1.63125,3,29
89,2.9972222222222222,13.508333333333331,0.9656250000000002,3,30
90,3.816666666666666,13.211111111111116,2.31875,3,31
91,3.494285714285714,13.27142857142857,2.209677419354839,4,1
92,2.951428571428572,13.988571428571431,1.3225806451612905,4,2
93,3.3257142857142847,12.905714285714287,1.4516129032258067,4,3
94,3.365714285714287,12.134285714285713,2.1032258064516127,4,4
95,2.7885714285714287,12.134285714285712,1.8838709677419359,4,5
96,2.94,12.720000000000002,1.4064516129032256,4,6
97,2.828571428571429,13.06571428571429,2.306451612903226,4,7
98,2.2057142857142855,12.640000000000002,0.7806451612903229,4,8
99,1.8114285714285714,13.448571428571428,1.0903225806451615,4,9
100,2.7657142857142856,13.854285714285718,1.3225806451612905,4,10
101,3.22,13.66857142857143,0.8806451612903224,4,11
102,3.2028571428571433,13.734285714285715,0.996774193548387,4,12
103,2.854285714285715,13.74,1.3967741935483873,4,13
104,2.9257142857142853,14.088571428571429,0.7677419354838712,4,14
105,3.225714285714286,14.165714285714285,1.1451612903225807,4,15
106,3.4628571428571426,13.828571428571431,1.8161290322580645,4,16
107,3.334285714285714,14.165714285714285,1.2935483870967743,4,17
108,2.622857142857143,14.094285714285714,1.0548387096774194,4,18
109,3.2028571428571433,13.988571428571428,0.7935483870967741,4,19
110,2.8428571428571434,15.15714285714286,0.8548387096774194,4,20
111,3.022857142857143,16.308571428571426,1.2419354838709677,4,21
112,3.780000000000001,16.591428571428576,0.5806451612903226,4,22
113,4.562857142857142,16.914285714285715,0.5806451612903226,4,23
114,5.274285714285714,17.634285714285713,2.4096774193548383,4,24
115,5.614285714285715,16.800000000000008,1.2064516129032257,4,25
116,5.245714285714284,15.734285714285713,2.3000000000000003,4,26
117,5.208571428571427,15.451428571428574,1.5580645161290325,4,27
118,5.245714285714286,16.637142857142855,1.4967741935483871,4,28
119,5.7942857142857145,16.102857142857143,2.541935483870968,4,29
120,5.95142857142857,15.911428571428571,1.5,4,30
121,5.199999999999999,16.71714285714286,1.4096774193548387,5,1
122,5.454285714285715,16.57714285714286,1.4612903225806453,5,2
123,5.391428571428572,16.46,1.3483870967741938,5,3
124,5.514285714285715,16.231428571428573,1.6612903225806452,5,4
125,5.6257142857142854,16.579999999999995,2.75,5,5
126,5.740000000000002,17.254285714285718,1.66875,5,6
127,7.094285714285713,17.811428571428568,2.2937499999999997,5,7
128,7.2628571428571425,18.53142857142857,1.3937500000000003,5,8
129,7.594285714285713,18.745714285714286,1.459375,5,9
130,7.7057142857142855,18.80285714285714,2.3687500000000004,5,10
131,8.02,19.128571428571433,2.6875,5,11
132,7.994285714285711,18.33428571428571,1.08125,5,12
133,7.477142857142859,18.394285714285715,0.8749999999999999,5,13
134,7.228571428571428,17.78571428571429,2.53125,5,14
135,6.271428571428573,18.348571428571425,1.5437500000000002,5,15
136,7.091428571428571,18.47142857142857,2.59375,5,16
137,7.431428571428573,18.254285714285718,2.587500000000001,5,17
138,7.362857142857142,17.882857142857148,1.7999999999999998,5,18
139,7.314285714285714,18.8,2.14375,5,19
140,7.459999999999999,19.22571428571429,3.5749999999999997,5,20
141,8.388571428571428,19.025714285714283,1.753125,5,21
142,8.328571428571427,19.391428571428577,2.7125000000000004,5,22
143,8.234285714285713,19.354285714285712,2.3000000000000003,5,23
144,8.128571428571428,19.368571428571432,1.9500000000000002,5,24
145,8.565714285714286,19.49142857142857,1.953125,5,25
146,8.725714285714284,19.191428571428574,3.234375,5,26
147,8.9,19.371428571428567,2.2843750000000003,5,27
148,9.062857142857142,19.599999999999994,1.9156250000000001,5,28
149,8.16,19.83142857142857,1.7000000000000002,5,29
150,8.557142857142857,20.220000000000002,2.1375,5,30
