MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-4.748214285714285,8.478571428571431,-19.900000000000002,13.8,69.41176470588235
2,-4.133928571428571,8.998214285714285,-16.8,17.0,50.068627450980394
3,-2.092857142857143,12.441071428571433,-16.3,21.700000000000003,51.99411764705881
4,-0.1272727272727273,16.925454545454542,-6.6000000000000005,27.6,39.06600000000001
5,3.3345454545454554,21.16181818181818,-3.0,29.6,53.9
6,6.952727272727272,23.48363636363636,1.3,32.5,69.61176470588236
7,9.82909090909091,25.13636363636364,5.7,34.800000000000004,76.30980392156862
8,9.64,25.145454545454555,5.4,33.5,80.5
9,6.972727272727272,21.418181818181832,2.0,30.200000000000003,79.97254901960785
10,3.267272727272728,17.165454545454544,-6.5,25.5,78.31372549019609
11,-0.22727272727272738,12.45454545454545,-14.200000000000001,18.2,82.68
12,-3.223636363636363,9.64181818181818,-19.200000000000003,14.200000000000001,77.06470588235294
