DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,3.7100000000000004,8.315094339622641,-6.800000000000001,12.5,35.88235294117647,1,1
2,3.8396226415094343,8.188461538461539,-6.4,12.700000000000001,26.254901960784313,1,2
3,3.4981132075471693,8.184615384615386,-5.7,12.700000000000001,27.137254901960784,1,3
4,3.5576923076923075,8.386792452830187,-2.8000000000000003,12.5,31.333333333333332,1,4
5,3.728846153846153,8.454716981132075,-4.0,12.700000000000001,30.333333333333332,1,5
6,4.207692307692308,8.090566037735849,-6.300000000000001,12.4,25.431372549019606,1,6
7,3.674509803921568,8.413207547169812,-5.5,13.0,26.098039215686274,1,7
8,3.9999999999999996,8.3811320754717,-8.6,13.5,24.098039215686274,1,8
9,4.245283018867924,8.292452830188678,-7.7,12.100000000000001,26.235294117647058,1,9
10,4.122641509433963,8.243396226415097,-4.5,13.200000000000001,40.13725490196079,1,10
11,4.086792452830189,8.2811320754717,-6.1000000000000005,12.5,18.784313725490197,1,11
12,3.754716981132074,8.407547169811322,-7.2,12.8,36.76470588235294,1,12
13,3.8653846153846163,8.415094339622641,-9.700000000000001,12.0,30.431372549019606,1,13
14,3.676923076923077,8.190566037735847,-8.1,12.8,20.647058823529413,1,14
15,4.388679245283019,8.015094339622642,-4.4,12.3,22.19607843137255,1,15
16,4.264150943396228,7.7320754716981135,-6.7,12.0,24.15686274509804,1,16
17,3.5566037735849068,7.7735849056603765,-5.2,13.8,18.627450980392158,1,17
18,2.903773584905661,8.075471698113208,-4.2,13.0,25.15686274509804,1,18
19,3.675,7.941509433962262,-3.0,12.200000000000001,17.0,1,19
20,3.5615384615384613,8.511320754716982,-3.2,12.0,25.54901960784314,1,20
21,3.7807692307692315,8.337735849056603,-2.6,12.700000000000001,29.352941176470587,1,21
22,3.7830188679245267,8.174999999999999,-2.5,12.0,38.509803921568626,1,22
23,4.050943396226415,8.028846153846155,-3.0,12.5,32.72549019607843,1,23
24,3.7207547169811317,8.071153846153846,-4.0,12.3,20.49019607843137,1,24
25,3.224999999999999,8.028846153846153,-2.1,13.9,29.333333333333332,1,25
26,3.1461538461538465,8.35576923076923,-3.5,14.8,28.529411764705884,1,26
27,3.2607843137254906,8.05,-4.5,12.0,21.392156862745097,1,27
28,2.954901960784314,8.0,-3.6,12.200000000000001,30.58823529411765,1,28
29,3.727450980392156,7.215384615384614,-3.4000000000000004,11.9,30.647058823529413,1,29
30,3.5230769230769234,7.253846153846155,-4.5,12.0,14.764705882352942,1,30
31,2.857692307692307,7.790384615384616,-5.4,13.0,29.23076923076923,1,31
32,3.058823529411766,8.038461538461537,-4.1000000000000005,12.4,25.32,2,1
33,3.2423076923076923,8.390384615384615,-3.8000000000000003,13.3,16.64,2,2
34,3.259615384615384,8.403773584905661,-5.0,14.700000000000001,13.36,2,3
35,3.6403846153846158,8.483018867924528,-5.0,12.4,27.66,2,4
36,4.216981132075472,8.6811320754717,-1.5,12.4,12.72,2,5
37,4.456603773584907,8.358490566037736,-4.9,13.200000000000001,22.96,2,6
38,3.7358490566037736,8.262264150943397,-7.5,12.100000000000001,30.1,2,7
39,3.3566037735849044,7.590384615384614,-6.5,11.9,23.24,2,8
40,3.215384615384615,7.648076923076923,-6.5,12.0,27.56,2,9
41,3.015384615384616,7.662264150943397,-6.7,12.700000000000001,32.04,2,10
42,3.1078431372549016,7.788679245283019,-5.2,13.600000000000001,25.0,2,11
