DAY,TMIN_P10,TMAX_P90,PRCP_SUM,MONTH,DAY_OF_MONTH
1,1.5755102040816327,7.073469387755101,3.131914893617021,1,1
2,1.7750000000000006,6.458333333333332,3.4234042553191486,1,2
3,1.3659574468085105,6.923404255319151,3.8085106382978737,1,3
4,1.3604166666666668,7.2,3.7702127659574467,1,4
5,1.7142857142857142,7.00204081632653,1.9234042553191488,1,5
6,1.9224489795918371,6.722916666666666,2.219148936170213,1,6
7,2.1104166666666666,6.780851063829786,2.0127659574468084,1,7
8,1.727083333333333,6.739583333333335,2.4702127659574473,1,8
9,1.3416666666666668,7.122916666666666,2.3489361702127662,1,9
10,1.541666666666666,6.791666666666667,1.8212765957446813,1,10
11,1.6755102040816332,6.655102040816327,3.5914893617021275,1,11
12,1.4795918367346939,7.097959183673471,2.374468085106383,1,12
13,1.385416666666667,7.202083333333335,3.106382978723404,1,13
14,1.8673469387755097,7.102040816326529,2.6191489361702134,1,14
15,2.008333333333333,6.597916666666667,3.017021276595744,1,15
16,1.8916666666666668,6.400000000000001,2.8382978723404255,1,16
17,1.5285714285714287,6.616326530612246,1.7936170212765956,1,17
18,1.542857142857143,6.430612244897959,3.9148936170212765,1,18
19,1.5312500000000002,6.953191489361703,4.368085106382979,1,19
20,1.6999999999999993,7.56938775510204,3.270212765957446,1,20
21,2.0354166666666664,7.056250000000001,2.7127659574468086,1,21
22,2.4530612244897956,7.4458333333333355,2.8702127659574463,1,22
23,1.8204081632653064,7.255102040816329,2.9499999999999993,1,23
24,1.9265306122448975,7.1612244897959165,2.3020833333333335,1,24
25,2.0775510204081638,6.828571428571428,2.8893617021276587,1,25
26,1.0395833333333335,6.779166666666666,1.9043478260869564,1,26
27,1.1306122448979592,7.083673469387756,4.04468085106383,1,27
28,0.9489795918367347,6.618750000000001,2.4382978723404256,1,28
29,1.8224489795918373,6.132653061224491,2.4127659574468083,1,29
30,1.2530612244897958,6.855102040816325,2.835416666666667,1,30
31,1.1204081632653062,7.322916666666668,2.5936170212765957,1,31
32,1.546938775510204,7.434693877551021,2.558333333333334,2,1
33,1.7666666666666668,7.377083333333335,3.272916666666666,2,2
34,1.5958333333333339,7.672916666666667,3.3957446808510636,2,3
35,2.3468085106382985,7.623913043478262,3.125531914893617,2,4
36,2.558333333333333,7.423404255319149,2.5148936170212766,2,5
37,2.2895833333333333,6.6312500000000005,2.6510638297872338,2,6
38,1.73125,6.889361702127658,2.0395833333333337,2,7
39,1.6937499999999999,6.623404255319151,2.6187500000000004,2,8
40,1.679591836734694,6.495833333333331,3.295918367346939,2,9
41,1.2645833333333338,6.574468085106383,2.8617021276595747,2,10
42,1.2061224489795919,6.872916666666665,2.085416666666666,2,11
43,1.5265306122448985,6.972916666666666,2.7375000000000003,2,12
44,1.195918367346939,7.181250000000001,1.6040816326530611,2,13
45,0.7877551020408163,7.047916666666668,1.779591836734694,2,14
46,1.1428571428571428,6.834693877551021,1.98125,2,15
47,1.273469387755102,7.406122448979589,1.7375,2,16
48,1.2212765957446807,7.26595744680851,1.3936170212765957,2,17
49,1.8632653061224491,7.922448979591836,2.0000000000000004,2,18
50,2.002083333333333,7.449999999999998,2.5936170212765957,2,19
51,2.3583333333333334,7.654166666666666,1.6595744680851068,2,20
52,1.967346938775511,7.641666666666666,2.3354166666666667,2,21
53,2.1122448979591835,7.7693877551020405,2.0937499999999996,2,22
54,2.0520833333333335,7.450000000000002,2.58936170212766,2,23
55,2.0208333333333335,7.527083333333334,1.3042553191489363,2,24
56,1.6408163265306124,7.5265306122449,2.00625,2,25
